Format Version,1.22,Take Name,crazyflie_hlc19,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,08 Dec 1969 16:13:25 -0500,Total Frames in Take,1191,Total Exported Frames,1191,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,cf,cf,cf,cf,cf,cf,cf,cf,"cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker4","cf:Marker4","cf:Marker4","cf:Marker4",cf:Marker1,cf:Marker1,cf:Marker1,cf:Marker2,cf:Marker2,cf:Marker2,cf:Marker3,cf:Marker3,cf:Marker3,cf:Marker4,cf:Marker4,cf:Marker4,Unlabeled 4060,Unlabeled 4060,Unlabeled 4060,Unlabeled 4061,Unlabeled 4061,Unlabeled 4061,Unlabeled 4062,Unlabeled 4062,Unlabeled 4062,Unlabeled 4063,Unlabeled 4063,Unlabeled 4063,Unlabeled 4064,Unlabeled 4064,Unlabeled 4064,Unlabeled 4065,Unlabeled 4065,Unlabeled 4065,Unlabeled 4066,Unlabeled 4066,Unlabeled 4066,Unlabeled 4067,Unlabeled 4067,Unlabeled 4067,Unlabeled 4068,Unlabeled 4068,Unlabeled 4068,Unlabeled 4069,Unlabeled 4069,Unlabeled 4069,Unlabeled 4070,Unlabeled 4070,Unlabeled 4070,Unlabeled 4071,Unlabeled 4071,Unlabeled 4071,Unlabeled 4072,Unlabeled 4072,Unlabeled 4072,Unlabeled 4073,Unlabeled 4073,Unlabeled 4073,Unlabeled 4074,Unlabeled 4074,Unlabeled 4074,Unlabeled 4075,Unlabeled 4075,Unlabeled 4075,Unlabeled 4076,Unlabeled 4076,Unlabeled 4076,Unlabeled 4077,Unlabeled 4077,Unlabeled 4077,Unlabeled 4078,Unlabeled 4078,Unlabeled 4078,Unlabeled 4079,Unlabeled 4079,Unlabeled 4079,Unlabeled 4080,Unlabeled 4080,Unlabeled 4080,Unlabeled 4081,Unlabeled 4081,Unlabeled 4081,Unlabeled 4082,Unlabeled 4082,Unlabeled 4082,Unlabeled 4083,Unlabeled 4083,Unlabeled 4083,Unlabeled 4084,Unlabeled 4084,Unlabeled 4084,Unlabeled 4085,Unlabeled 4085,Unlabeled 4085,Unlabeled 4086,Unlabeled 4086,Unlabeled 4086,Unlabeled 4087,Unlabeled 4087,Unlabeled 4087,Unlabeled 4088,Unlabeled 4088,Unlabeled 4088,Unlabeled 4089,Unlabeled 4089,Unlabeled 4089,Unlabeled 4090,Unlabeled 4090,Unlabeled 4090,Unlabeled 4091,Unlabeled 4091,Unlabeled 4091,Unlabeled 4092,Unlabeled 4092,Unlabeled 4092,Unlabeled 4093,Unlabeled 4093,Unlabeled 4093,Unlabeled 4094,Unlabeled 4094,Unlabeled 4094,Unlabeled 4097,Unlabeled 4097,Unlabeled 4097,Unlabeled 4098,Unlabeled 4098,Unlabeled 4098,Unlabeled 4100,Unlabeled 4100,Unlabeled 4100,Unlabeled 4101,Unlabeled 4101,Unlabeled 4101,Unlabeled 4103,Unlabeled 4103,Unlabeled 4103,Unlabeled 4105,Unlabeled 4105,Unlabeled 4105,Unlabeled 4106,Unlabeled 4106,Unlabeled 4106,Unlabeled 4108,Unlabeled 4108,Unlabeled 4108,Unlabeled 4109,Unlabeled 4109,Unlabeled 4109,Unlabeled 4110,Unlabeled 4110,Unlabeled 4110,Unlabeled 4111,Unlabeled 4111,Unlabeled 4111,Unlabeled 4112,Unlabeled 4112,Unlabeled 4112,Unlabeled 4114,Unlabeled 4114,Unlabeled 4114,Unlabeled 4116,Unlabeled 4116,Unlabeled 4116
,,"F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","104380","104380","104380","1043F0","1043F0","1043F0","104400","104400","104400","104EB0","104EB0","104EB0","FEF50","FEF50","FEF50","FEF90","FEF90","FEF90","FEFA0","FEFA0","FEFA0","FEFF0","FEFF0","FEFF0","FF000","FF000","FF000","FF010","FF010","FF010","FF040","FF040","FF040","FF080","FF080","FF080","FF0C0","FF0C0","FF0C0","FF0D0","FF0D0","FF0D0","FF170","FF170","FF170","FF180","FF180","FF180","FF190","FF190","FF190","FF1C0","FF1C0","FF1C0","FF1E0","FF1E0","FF1E0","FF300","FF300","FF300","FF330","FF330","FF330","FF340","FF340","FF340","FF800","FF800","FF800","FFCA0","FFCA0","FFCA0","101C30","101C30","101C30","101C50","101C50","101C50","101D60","101D60","101D60","101F40","101F40","101F40","102290","102290","102290","102890","102890","102890","104020","104020","104020","1040E0","1040E0","1040E0","1040F0","1040F0","1040F0","104850","104850","104850","104940","104940","104940","105330","105330","105330","1054E0","1054E0","1054E0","1054D0","1054D0","1054D0","105740","105740","105740","105770","105770","105770","105780","105780","105780","105530","105530","105530","1057A0","1057A0","1057A0","1057C0","1057C0","1057C0","1057E0","1057E0","1057E0","1057F0","1057F0","1057F0","105800","105800","105800","105830","105830","105830","105820","105820","105820","105810","105810","105810","105840","105840","105840","105860","105860","105860","105550","105550","105550"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000759,-0.001603,0.000662,-0.999998,152.895599,2.879807,91.618996,0.023668,144.131546,2.874465,87.415848,0.895680,158.023621,2.979286,96.419060,0.953479,159.737930,2.791728,85.722244,0.980394,149.689301,2.873750,96.918839,0.933766,144.150955,2.879148,87.450226,158.010818,2.986513,96.417915,159.742661,2.787988,85.718193,149.678833,2.865806,96.891319,-134.849716,207.030411,160.380310,-135.047607,207.909973,163.921173,308.859100,205.905273,-133.428986,162.018509,284.861450,82.795654,138.097931,277.230591,92.882683,114.673103,277.603455,87.040306,51.146805,207.315186,49.114273,8.330833,205.731583,-119.090248,-79.179787,269.945496,44.621014,-95.759209,276.223297,82.626205,-105.792908,206.804565,-332.314026,-109.503464,276.586029,71.043304,-127.768341,275.882477,93.537613,-288.818878,206.343292,373.449005,-292.980194,205.596878,-3.758499,40.393932,205.159546,-122.220016,-166.987289,206.544785,224.366638,13.012481,205.446716,-255.717590,-149.129761,205.673096,49.625324,131.402863,206.755646,53.922157,-292.876007,204.890198,167.166992,89.286957,207.642944,16.370449,100.838104,208.158630,192.227127,311.446777,206.732178,17.237568,-96.906456,207.300476,111.917519,102.571037,204.812027,-320.309937,-13.808439,207.942062,292.539703,203.787308,206.213455,-136.926453,79.080635,206.583481,-47.950493,42.231758,207.569305,282.557739,-38.616074,207.530716,-62.791107,85.709503,208.611206,240.160339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.000686,-0.001467,0.000670,-0.999999,152.895279,2.879374,91.621193,0.019808,144.132370,2.873557,87.415665,0.909770,158.021988,2.979469,96.422646,0.957478,159.739212,2.790333,85.726318,0.990340,149.687515,2.874135,96.920166,0.944331,144.148117,2.877090,87.448036,158.009552,2.984966,96.420578,159.747131,2.787473,85.721626,149.676651,2.868158,96.896019,-134.855820,207.030136,160.376160,-135.048080,207.911255,163.924789,308.860718,205.904037,-133.426041,162.016876,284.863373,82.793510,138.091858,277.233612,92.877914,114.669632,277.599121,87.048294,51.145733,207.316330,49.114895,8.407330,205.697891,-119.219124,-79.181656,269.942444,44.627319,-95.763420,276.223724,82.628403,-105.791069,206.802628,-332.326782,-109.502220,276.586426,71.045013,-127.767181,275.885162,93.539757,-289.209351,206.402588,373.566620,-293.000519,205.595566,-3.755388,40.393524,205.159302,-122.217850,-166.985245,206.544495,224.366333,13.010883,205.446960,-255.717178,-149.129318,205.673477,49.626595,131.402222,206.755020,53.915577,-292.873840,204.894119,167.167145,89.284256,207.644363,16.375946,100.838982,208.158295,192.229599,311.466034,206.731201,17.232609,-96.906853,207.301071,111.916328,102.570999,204.812790,-320.309448,-13.806545,207.941940,292.539246,203.792236,206.213242,-136.927338,79.082535,206.583115,-47.950138,42.234482,207.568832,282.559021,-38.617962,207.529068,-62.796593,85.708786,208.612198,240.158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.000862,-0.001312,0.000593,-0.999999,152.896118,2.881450,91.621437,0.022333,144.134521,2.875776,87.413185,0.900621,158.021317,2.980640,96.424515,0.958967,159.741898,2.795523,85.728661,0.986051,149.686722,2.873862,96.919411,0.931031,144.150620,2.879177,87.448204,158.009079,2.985747,96.420441,159.748260,2.792890,85.728157,149.676971,2.868115,96.890259,-134.850220,207.029633,160.380310,-135.048813,207.910706,163.922302,308.863708,205.904739,-133.428986,162.023285,284.861664,82.796844,138.093521,277.231171,92.898087,114.669464,277.600952,87.038612,51.146847,207.316086,49.112885,8.325470,205.732864,-119.081207,-79.190742,269.944092,44.628227,-95.762489,276.222961,82.620499,-105.791809,206.803009,-332.323029,-109.501457,276.583496,71.041298,-127.768303,275.882538,93.540344,-288.819519,206.339691,373.453125,-293.008942,205.597717,-3.753883,40.393238,205.159424,-122.219177,-166.987244,206.545166,224.366852,13.010561,205.447037,-255.715942,-149.128494,205.673737,49.626881,131.404266,206.756973,53.926598,-292.874847,204.893204,167.171143,89.289917,207.642746,16.369164,100.839363,208.159454,192.227753,311.439880,206.731033,17.240047,-96.907356,207.300980,111.914444,102.571548,204.813217,-320.306183,-13.811393,207.941269,292.541931,203.789383,206.215332,-136.927536,79.080437,206.582932,-47.950527,42.229305,207.570618,282.557617,-38.618404,207.530212,-62.791656,85.710915,208.611679,240.160660,-114.916611,274.355469,113.229561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.000983,-0.001311,0.000448,-0.999999,152.896027,2.879682,91.623322,0.023995,144.134445,2.872488,87.415047,0.895695,158.021194,2.979192,96.426430,0.956460,159.741837,2.797172,85.730530,0.982203,149.686615,2.869875,96.921280,0.925695,144.151505,2.877765,87.451263,158.008453,2.987252,96.423622,159.747345,2.793051,85.729713,149.677368,2.860795,96.890022,-134.854752,207.029861,160.375168,-135.047958,207.910873,163.920120,308.859894,205.904633,-133.429840,162.017319,284.862061,82.796776,138.097305,277.229401,92.903427,114.672867,277.601563,87.050270,51.146843,207.317184,49.114758,8.400439,205.554718,-119.162811,-79.186356,269.941589,44.628323,-95.760811,276.221191,82.626106,-105.792328,206.803650,-332.317719,-109.496498,276.585022,71.047684,-127.765045,275.884613,93.540817,-288.821136,206.340652,373.450134,-293.001068,205.596115,-3.758499,40.394859,205.160385,-122.219131,-166.985489,206.544678,224.366379,13.010920,205.446594,-255.717117,-149.129623,205.671097,49.625656,131.400833,206.755783,53.915428,-292.870605,204.891632,167.164734,89.288040,207.643600,16.373972,100.839233,208.160477,192.225815,311.463165,206.730728,17.226696,-96.905945,207.301666,111.924385,102.571083,204.814392,-320.307922,-13.808515,207.940704,292.540741,203.790253,206.213715,-136.925095,79.081604,206.582642,-47.950844,42.229267,207.568008,282.556793,-38.618191,207.530289,-62.788128,85.708603,208.611038,240.157013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.001046,-0.001267,0.000280,-0.999999,152.896225,2.880791,91.625160,0.022791,144.135010,2.871192,87.416115,0.899620,158.020920,2.981411,96.428726,0.957378,159.742584,2.801327,85.732964,0.981580,149.686356,2.869235,96.922836,0.933509,144.152206,2.874854,87.449905,158.009384,2.986953,96.423241,159.747711,2.798483,85.733482,149.676270,2.863031,96.895393,-134.852188,207.029800,160.378448,-135.049606,207.910675,163.918594,308.859924,205.914139,-133.428299,162.020462,284.864075,82.797897,138.098145,277.227936,92.897606,114.670204,277.596710,87.061333,51.146637,207.315796,49.115307,8.429699,205.541260,-119.211983,-79.189011,269.943756,44.629227,-95.759949,276.222717,82.626083,-105.792633,206.802444,-332.315643,-109.501740,276.584991,71.045685,-127.766800,275.883179,93.540070,-288.819611,206.343811,373.448029,-293.000427,205.595261,-3.755581,40.397179,205.159424,-122.218277,-166.986481,206.544250,224.367096,13.011551,205.446671,-255.717087,-149.131134,205.673248,49.626842,131.399857,206.759064,53.911518,-292.873169,204.892853,167.169373,89.288750,207.641724,16.368872,100.841499,208.160141,192.232315,311.469849,206.731079,17.229176,-96.836128,207.235764,112.129700,102.570961,204.811020,-320.308472,-13.808947,207.943542,292.539856,203.943253,206.316727,-137.301132,79.080818,206.581299,-47.951283,42.232738,207.569839,282.558472,-38.617165,207.530472,-62.785053,85.707924,208.611755,240.154129,,,,-76.007912,205.592209,58.527351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.000900,-0.001300,0.000079,-0.999999,152.895935,2.880162,91.624893,0.022034,144.134445,2.865800,87.416420,0.900301,158.020905,2.984251,96.428093,0.960242,159.741943,2.801744,85.732269,0.984452,149.686401,2.868854,96.922783,0.934665,144.151779,2.870444,87.449997,158.009430,2.991343,96.423889,159.746994,2.798102,85.731567,149.676193,2.860920,96.895477,-134.850525,207.031082,160.378448,-135.047318,207.910614,163.923935,308.871735,205.913620,-133.427185,162.012909,284.860199,82.797684,138.100189,277.227478,92.905235,114.673164,277.597717,87.058281,51.148041,207.318039,49.115505,8.432699,205.541153,-119.214249,-79.184296,269.940552,44.627274,-95.762184,276.222107,82.623199,-105.803596,206.807709,-332.341125,-109.498787,276.584076,71.043968,-127.767944,275.884155,93.539215,-288.821045,206.342316,373.451416,-292.977753,205.595825,-3.761393,40.396141,205.158646,-122.218658,-166.986618,206.544754,224.366425,13.010847,205.447205,-255.715912,-149.130280,205.672806,49.627117,131.399780,206.757111,53.920555,-292.319000,205.103607,166.751617,89.289268,207.643127,16.368624,100.841057,208.159348,192.229477,311.452301,206.729889,17.236519,-96.906387,207.301025,111.920189,102.570595,204.813385,-320.309631,-13.804172,207.943039,292.541046,203.790543,206.214645,-136.926102,79.082680,206.582306,-47.951214,42.230797,207.569473,282.558380,-38.620274,207.529480,-62.801888,85.707146,208.612579,240.154449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
