Format Version,1.22,Take Name,crazyflie_hlc21,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,08 Dec 1969 16:15:47 -0500,Total Frames in Take,1192,Total Exported Frames,1192,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,cf,cf,cf,cf,cf,cf,cf,cf,"cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker4","cf:Marker4","cf:Marker4","cf:Marker4",cf:Marker1,cf:Marker1,cf:Marker1,cf:Marker2,cf:Marker2,cf:Marker2,cf:Marker3,cf:Marker3,cf:Marker3,cf:Marker4,cf:Marker4,cf:Marker4,Unlabeled 4236,Unlabeled 4236,Unlabeled 4236,Unlabeled 4237,Unlabeled 4237,Unlabeled 4237,Unlabeled 4238,Unlabeled 4238,Unlabeled 4238,Unlabeled 4239,Unlabeled 4239,Unlabeled 4239,Unlabeled 4240,Unlabeled 4240,Unlabeled 4240,Unlabeled 4241,Unlabeled 4241,Unlabeled 4241,Unlabeled 4242,Unlabeled 4242,Unlabeled 4242,Unlabeled 4243,Unlabeled 4243,Unlabeled 4243,Unlabeled 4244,Unlabeled 4244,Unlabeled 4244,Unlabeled 4245,Unlabeled 4245,Unlabeled 4245,Unlabeled 4246,Unlabeled 4246,Unlabeled 4246,Unlabeled 4247,Unlabeled 4247,Unlabeled 4247,Unlabeled 4248,Unlabeled 4248,Unlabeled 4248,Unlabeled 4249,Unlabeled 4249,Unlabeled 4249,Unlabeled 4250,Unlabeled 4250,Unlabeled 4250,Unlabeled 4251,Unlabeled 4251,Unlabeled 4251,Unlabeled 4252,Unlabeled 4252,Unlabeled 4252,Unlabeled 4253,Unlabeled 4253,Unlabeled 4253,Unlabeled 4254,Unlabeled 4254,Unlabeled 4254,Unlabeled 4255,Unlabeled 4255,Unlabeled 4255,Unlabeled 4256,Unlabeled 4256,Unlabeled 4256,Unlabeled 4257,Unlabeled 4257,Unlabeled 4257,Unlabeled 4258,Unlabeled 4258,Unlabeled 4258,Unlabeled 4259,Unlabeled 4259,Unlabeled 4259,Unlabeled 4260,Unlabeled 4260,Unlabeled 4260,Unlabeled 4261,Unlabeled 4261,Unlabeled 4261,Unlabeled 4262,Unlabeled 4262,Unlabeled 4262,Unlabeled 4263,Unlabeled 4263,Unlabeled 4263,Unlabeled 4264,Unlabeled 4264,Unlabeled 4264,Unlabeled 4265,Unlabeled 4265,Unlabeled 4265,Unlabeled 4266,Unlabeled 4266,Unlabeled 4266,Unlabeled 4267,Unlabeled 4267,Unlabeled 4267,Unlabeled 4268,Unlabeled 4268,Unlabeled 4268,Unlabeled 4269,Unlabeled 4269,Unlabeled 4269,Unlabeled 4271,Unlabeled 4271,Unlabeled 4271,Unlabeled 4273,Unlabeled 4273,Unlabeled 4273
,,"F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","F34FE805743711F0DFF24AA584E86B9E","106290","106290","106290","1043F0","1043F0","1043F0","104400","104400","104400","104EB0","104EB0","104EB0","FEF50","FEF50","FEF50","FEF90","FEF90","FEF90","FEFA0","FEFA0","FEFA0","FEFF0","FEFF0","FEFF0","FF000","FF000","FF000","FF010","FF010","FF010","FF040","FF040","FF040","FF080","FF080","FF080","FF0C0","FF0C0","FF0C0","FF0D0","FF0D0","FF0D0","FF170","FF170","FF170","FF180","FF180","FF180","FF190","FF190","FF190","FF1C0","FF1C0","FF1C0","FF1E0","FF1E0","FF1E0","FF300","FF300","FF300","FF330","FF330","FF330","FF340","FF340","FF340","FF800","FF800","FF800","FFCA0","FFCA0","FFCA0","101C30","101C30","101C30","101C50","101C50","101C50","101D60","101D60","101D60","101F40","101F40","101F40","102290","102290","102290","102890","102890","102890","104020","104020","104020","1040E0","1040E0","1040E0","1040F0","1040F0","1040F0","104850","104850","104850","104940","104940","104940","105330","105330","105330","106870","106870","106870","106920","106920","106920","106A30","106A30","106A30","106A60","106A60","106A60"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.001447,-0.109268,-0.000321,-0.994011,96.833488,2.478024,62.008160,0.069353,87.372818,2.439393,59.778942,0.856345,102.869987,2.607422,65.598557,0.915833,102.254913,2.374985,54.783588,0.765411,94.836212,2.490294,67.871567,0.768883,87.376038,2.428004,59.779305,102.839554,2.589064,65.562256,102.320885,2.385806,54.725384,94.803207,2.514071,67.972298,-134.847046,207.028839,160.382080,-135.034515,207.909851,163.946060,308.856750,205.911835,-133.428375,161.997574,284.859955,82.795044,138.092590,277.223267,92.890076,114.664528,277.589508,87.041069,51.145191,207.311844,49.112450,8.404208,205.698898,-119.216454,-79.187012,269.944031,44.631111,-95.758453,276.220917,82.630630,-105.791451,206.806900,-332.324951,-109.501076,276.583923,71.044922,-127.763763,275.885254,93.539406,-288.820465,206.339127,373.449341,-292.999756,205.595856,-3.755718,40.391750,205.140060,-122.214127,-166.987350,206.544678,224.367401,13.009405,205.446030,-255.715866,-149.128357,205.672531,49.624641,131.395691,206.751709,53.913803,-292.317505,205.102783,166.749451,89.287552,207.643768,16.368959,100.837219,208.159088,192.225128,311.431702,206.732147,17.239285,-96.908104,207.299988,111.916328,102.572166,204.814529,-320.312378,-13.806863,207.942963,292.543793,203.789978,206.214600,-136.928329,79.081635,206.582733,-47.950008,42.180275,207.555908,282.628540,-38.619171,207.528610,-62.792564,85.709129,208.609955,240.157501,310.509979,209.151978,374.396362,216.858124,207.572845,83.846306,,,,,,
1,0.008333,0.001421,-0.109334,-0.000215,-0.994004,96.834579,2.477983,62.007149,0.069457,87.373611,2.441474,59.779179,0.855165,102.871582,2.605962,65.596748,0.916628,102.255020,2.373985,54.781853,0.765119,94.838081,2.490510,67.870819,0.768521,87.376472,2.429364,59.779495,102.840866,2.586597,65.560219,102.321419,2.385449,54.723816,94.805458,2.515670,67.971855,-134.852356,207.029633,160.376648,-135.049225,207.909683,163.917725,308.857513,205.912231,-133.429733,162.012665,284.857147,82.797287,138.088089,277.225189,92.884827,114.667618,277.587250,87.055351,51.143311,207.312637,49.109989,8.335614,205.735138,-119.100479,-79.183838,269.947083,44.628571,-95.758202,276.221344,82.627548,-105.792236,206.806305,-332.320679,-109.499931,276.584229,71.045303,-127.766487,275.887360,93.540237,-288.818665,206.343430,373.452026,-292.989960,205.596451,-3.754848,40.396023,205.161041,-122.217796,-166.987396,206.544968,224.367111,13.010300,205.446381,-255.717087,-149.129868,205.673340,49.629711,131.397568,206.751328,53.911816,-292.880096,204.893616,167.174942,89.285202,207.644730,16.369026,100.838531,208.158279,192.226761,311.442749,206.729340,17.231941,-96.907066,207.301239,111.915276,102.573624,204.812439,-320.305328,-13.810627,207.940155,292.543549,203.926895,206.359985,-137.309769,79.080063,206.581848,-47.951752,42.230370,207.570770,282.558289,-38.618706,207.529663,-62.799789,85.709129,208.610321,240.154556,,,,216.857773,207.574387,83.848450,,,,,,
2,0.016667,0.001402,-0.109353,-0.000175,-0.994002,96.834557,2.478276,62.008411,0.068729,87.373505,2.442631,59.780800,0.856866,102.871704,2.605643,65.597786,0.915412,102.254723,2.374021,54.782902,0.767654,94.838287,2.490808,67.872162,0.772777,87.377914,2.431020,59.781635,102.840126,2.586883,65.561584,102.320145,2.385056,54.724659,94.805855,2.514945,67.971977,-134.850601,207.028870,160.377319,-135.034821,207.909424,163.943298,308.856110,205.912018,-133.428772,162.007278,284.859406,82.797623,138.093216,277.224762,92.885780,114.663933,277.587341,87.036606,51.143997,207.311676,49.113033,8.404758,205.697510,-119.217941,-79.189064,269.944244,44.635033,-95.759399,276.220978,82.627518,-105.792084,206.803101,-332.329041,-109.505463,276.583954,71.040916,-127.761444,275.885834,93.540428,-288.811829,206.343796,373.447571,-293.009888,205.596466,-3.756201,40.390118,205.141449,-122.214996,-166.987305,206.545547,224.367401,13.011289,205.446045,-255.717560,-149.129730,205.672104,49.626381,131.398071,206.752914,53.913002,-292.316193,205.100540,166.750977,89.286148,207.644699,16.371790,100.838470,208.158493,192.227173,311.447906,206.732040,17.232895,-96.906403,207.302521,111.915588,102.572594,204.812927,-320.310242,-13.805214,207.941315,292.542664,203.926804,206.360107,-137.309753,79.081055,206.582825,-47.951096,42.229481,207.570358,282.557190,-38.616417,207.530518,-62.793877,85.711594,208.610245,240.161057,310.510864,209.148865,374.393738,216.876312,207.582047,83.870720,,,,,,
3,0.025000,0.001437,-0.109126,-0.000325,-0.994027,96.833961,2.477704,62.005867,0.068665,87.373940,2.439070,59.773933,0.856700,102.869431,2.607056,65.598000,0.917557,102.257454,2.374856,54.782845,0.769685,94.835007,2.489833,67.868698,0.769411,87.377586,2.426705,59.772701,102.838745,2.587320,65.562088,102.321175,2.386466,54.725288,94.803802,2.515516,67.970444,-134.847214,207.029343,160.382599,-135.048965,207.909103,163.917068,308.857635,205.903839,-133.430206,162.010544,284.857117,82.792297,138.092377,277.225433,92.882919,114.663330,277.588928,87.036919,51.141747,207.313324,49.112110,8.395346,205.553253,-119.152473,-79.188629,269.944916,44.633259,-95.757469,276.222595,82.628937,-105.792152,206.804520,-332.321625,-109.499069,276.585144,71.047974,-127.760468,275.887512,93.541512,-288.818420,206.343338,373.449097,-292.993591,205.597214,-3.755286,40.394817,205.159897,-122.217201,-166.987473,206.544495,224.368576,13.012493,205.446289,-255.718048,-149.130676,205.672195,49.622246,131.397537,206.754715,53.918571,-292.591644,204.976822,166.818878,89.286209,207.643463,16.368645,100.836227,208.158569,192.225403,311.449432,206.729645,17.234421,-96.906868,207.301376,111.911774,102.572235,204.812485,-320.308990,-13.807114,207.942200,292.542542,203.791351,206.213501,-136.927887,79.080338,206.583710,-47.949844,42.186089,207.556961,282.630219,-38.618935,207.530884,-62.806606,85.710205,208.611801,240.159027,310.509705,209.148270,374.392517,216.859558,207.573944,83.845413,,,,,,
4,0.033333,0.001466,-0.109236,-0.000225,-0.994015,96.833954,2.478098,62.007774,0.069332,87.373421,2.441109,59.777935,0.860518,102.870239,2.606572,65.598557,0.911865,102.255836,2.373633,54.783558,0.767708,94.836296,2.491077,67.871048,0.766592,87.379089,2.429405,59.777443,102.840714,2.587462,65.562698,102.318916,2.384735,54.724712,94.801865,2.515835,67.973236,-134.847000,207.026718,160.381607,-135.049057,207.910187,163.916397,308.856903,205.913116,-133.428589,162.015152,284.858154,82.797256,138.093918,277.223358,92.886971,114.661751,277.592072,87.017372,51.143837,207.313843,49.111557,8.396001,205.550812,-119.151184,-79.191483,269.945251,44.630646,-95.757309,276.221710,82.626602,-105.791710,206.802795,-332.327148,-109.503174,276.585541,71.046158,-127.766762,275.885437,93.537239,-288.817383,206.342453,373.449890,-292.983490,205.594818,-3.756001,40.396126,205.158829,-122.219002,-166.987625,206.544754,224.367767,13.013136,205.446075,-255.718307,-149.129730,205.672241,49.622952,131.396759,206.754440,53.911762,-292.872009,204.891388,167.165344,89.286057,207.644730,16.372398,100.838814,208.158463,192.228210,311.436279,206.731369,17.238522,-96.907272,207.300949,111.913727,102.572884,204.812653,-320.306732,-13.807858,207.941559,292.543884,203.926392,206.359528,-137.309677,79.080780,206.582855,-47.951954,42.183746,207.554535,282.630188,-38.616573,207.529404,-62.791466,85.708946,208.611893,240.157867,310.505951,209.145538,374.384735,216.859222,207.571442,83.847084,,,,,,
5,0.041667,0.001842,-0.108072,-0.001141,-0.994141,96.839020,2.469461,61.990906,0.068650,87.383820,2.413221,59.738983,0.862346,102.866638,2.611403,65.595718,0.917518,102.277962,2.371387,54.779442,0.791521,94.827637,2.481834,67.849487,0.742114,87.394173,2.397907,59.721203,102.839302,2.587493,65.561836,102.321350,2.384477,54.723228,94.803215,2.515069,67.971703,-134.847351,207.027557,160.383469,-135.033005,207.910965,163.950165,308.857544,205.914658,-133.430023,162.010025,284.858490,82.796219,138.092896,277.224579,92.880058,114.661858,277.591736,87.015366,51.141472,207.313568,49.110477,8.427348,205.540375,-119.199844,-79.191864,269.948517,44.633820,-95.758171,276.221252,82.622856,-105.803772,206.812149,-332.338867,-109.502411,276.586151,71.046257,-127.764442,275.887146,93.541069,-288.810944,206.343002,373.448792,-292.986725,205.597137,-3.756562,40.395157,205.158051,-122.217926,-166.986557,206.544876,224.366241,13.011683,205.445480,-255.716614,-149.128754,205.671951,49.626652,131.395065,206.752396,53.909725,-292.874207,204.897827,167.171600,89.288185,207.642914,16.368963,100.838554,208.158081,192.228348,311.445038,206.728607,17.236233,-96.908066,207.302338,111.917709,102.572166,204.812958,-320.309814,-13.810343,207.941467,292.543121,203.942902,206.318192,-137.301453,79.081726,206.583588,-47.949944,42.231812,207.570862,282.557495,-38.619759,207.529755,-62.803886,85.711502,208.610779,240.163284,,,,216.856476,207.573532,83.849747,,,,,,
