Format Version,1.22,Take Name,crazyflie_hlc3,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,08 Dec 1969 15:53:17 -0500,Total Frames in Take,1894,Total Exported Frames,1894,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,cf,cf,cf,cf,cf,cf,cf,cf,"cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker4","cf:Marker4","cf:Marker4","cf:Marker4",cf:Marker1,cf:Marker1,cf:Marker1,cf:Marker2,cf:Marker2,cf:Marker2,cf:Marker3,cf:Marker3,cf:Marker3,cf:Marker4,cf:Marker4,cf:Marker4,Unlabeled 1205,Unlabeled 1205,Unlabeled 1205,Unlabeled 1206,Unlabeled 1206,Unlabeled 1206,Unlabeled 1207,Unlabeled 1207,Unlabeled 1207,Unlabeled 1208,Unlabeled 1208,Unlabeled 1208,Unlabeled 1209,Unlabeled 1209,Unlabeled 1209,Unlabeled 1210,Unlabeled 1210,Unlabeled 1210,Unlabeled 1211,Unlabeled 1211,Unlabeled 1211,Unlabeled 1212,Unlabeled 1212,Unlabeled 1212,Unlabeled 1213,Unlabeled 1213,Unlabeled 1213,Unlabeled 1214,Unlabeled 1214,Unlabeled 1214,Unlabeled 1215,Unlabeled 1215,Unlabeled 1215,Unlabeled 1216,Unlabeled 1216,Unlabeled 1216,Unlabeled 1217,Unlabeled 1217,Unlabeled 1217,Unlabeled 1218,Unlabeled 1218,Unlabeled 1218,Unlabeled 1219,Unlabeled 1219,Unlabeled 1219,Unlabeled 1220,Unlabeled 1220,Unlabeled 1220,Unlabeled 1221,Unlabeled 1221,Unlabeled 1221,Unlabeled 1222,Unlabeled 1222,Unlabeled 1222,Unlabeled 1223,Unlabeled 1223,Unlabeled 1223,Unlabeled 1224,Unlabeled 1224,Unlabeled 1224,Unlabeled 1225,Unlabeled 1225,Unlabeled 1225,Unlabeled 1226,Unlabeled 1226,Unlabeled 1226,Unlabeled 1227,Unlabeled 1227,Unlabeled 1227,Unlabeled 1228,Unlabeled 1228,Unlabeled 1228,Unlabeled 1229,Unlabeled 1229,Unlabeled 1229,Unlabeled 1230,Unlabeled 1230,Unlabeled 1230,Unlabeled 1231,Unlabeled 1231,Unlabeled 1231,Unlabeled 1232,Unlabeled 1232,Unlabeled 1232,Unlabeled 1233,Unlabeled 1233,Unlabeled 1233,Unlabeled 1234,Unlabeled 1234,Unlabeled 1234,Unlabeled 1235,Unlabeled 1235,Unlabeled 1235,Unlabeled 1236,Unlabeled 1236,Unlabeled 1236,Unlabeled 1237,Unlabeled 1237,Unlabeled 1237,Unlabeled 1238,Unlabeled 1238,Unlabeled 1238,Unlabeled 1239,Unlabeled 1239,Unlabeled 1239,Unlabeled 1240,Unlabeled 1240,Unlabeled 1240,Unlabeled 1243,Unlabeled 1243,Unlabeled 1243,Unlabeled 1244,Unlabeled 1244,Unlabeled 1244,Unlabeled 1245,Unlabeled 1245,Unlabeled 1245,Unlabeled 1246,Unlabeled 1246,Unlabeled 1246,Unlabeled 1247,Unlabeled 1247,Unlabeled 1247,Unlabeled 1248,Unlabeled 1248,Unlabeled 1248,Unlabeled 1249,Unlabeled 1249,Unlabeled 1249,Unlabeled 1252,Unlabeled 1252,Unlabeled 1252,Unlabeled 1255,Unlabeled 1255,Unlabeled 1255,Unlabeled 1258,Unlabeled 1258,Unlabeled 1258,Unlabeled 1259,Unlabeled 1259,Unlabeled 1259,Unlabeled 1261,Unlabeled 1261,Unlabeled 1261,Unlabeled 1262,Unlabeled 1262,Unlabeled 1262,Unlabeled 1263,Unlabeled 1263,Unlabeled 1263,Unlabeled 1270,Unlabeled 1270,Unlabeled 1270,Unlabeled 1275,Unlabeled 1275,Unlabeled 1275,Unlabeled 1276,Unlabeled 1276,Unlabeled 1276,Unlabeled 1282,Unlabeled 1282,Unlabeled 1282,Unlabeled 1284,Unlabeled 1284,Unlabeled 1284,Unlabeled 1286,Unlabeled 1286,Unlabeled 1286,Unlabeled 1289,Unlabeled 1289,Unlabeled 1289,Unlabeled 1292,Unlabeled 1292,Unlabeled 1292,Unlabeled 1293,Unlabeled 1293,Unlabeled 1293,Unlabeled 1294,Unlabeled 1294,Unlabeled 1294,Unlabeled 1295,Unlabeled 1295,Unlabeled 1295,Unlabeled 1299,Unlabeled 1299,Unlabeled 1299,Unlabeled 1302,Unlabeled 1302,Unlabeled 1302,Unlabeled 1304,Unlabeled 1304,Unlabeled 1304,Unlabeled 1310,Unlabeled 1310,Unlabeled 1310,Unlabeled 1312,Unlabeled 1312,Unlabeled 1312,Unlabeled 1313,Unlabeled 1313,Unlabeled 1313,Unlabeled 1318,Unlabeled 1318,Unlabeled 1318,Unlabeled 1319,Unlabeled 1319,Unlabeled 1319,Unlabeled 1320,Unlabeled 1320,Unlabeled 1320,Unlabeled 1322,Unlabeled 1322,Unlabeled 1322,Unlabeled 1325,Unlabeled 1325,Unlabeled 1325,Unlabeled 1326,Unlabeled 1326,Unlabeled 1326,Unlabeled 1327,Unlabeled 1327,Unlabeled 1327,Unlabeled 1328,Unlabeled 1328,Unlabeled 1328,Unlabeled 1331,Unlabeled 1331,Unlabeled 1331
,,"B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","E72B0","E72B0","E72B0","E7380","E7380","E7380","E7460","E7460","E7460","E7490","E7490","E7490","E1D70","E1D70","E1D70","E2910","E2910","E2910","E2DC0","E2DC0","E2DC0","E2E00","E2E00","E2E00","E3320","E3320","E3320","E35B0","E35B0","E35B0","E3610","E3610","E3610","E36D0","E36D0","E36D0","E36E0","E36E0","E36E0","E36F0","E36F0","E36F0","E3700","E3700","E3700","E3710","E3710","E3710","E3720","E3720","E3720","E3740","E3740","E3740","E3760","E3760","E3760","E3770","E3770","E3770","E3780","E3780","E3780","E3790","E3790","E3790","E37A0","E37A0","E37A0","E37B0","E37B0","E37B0","E37D0","E37D0","E37D0","E37F0","E37F0","E37F0","E3800","E3800","E3800","E3830","E3830","E3830","E3850","E3850","E3850","E3860","E3860","E3860","E5840","E5840","E5840","E6BA0","E6BA0","E6BA0","E6BD0","E6BD0","E6BD0","E6BE0","E6BE0","E6BE0","E7880","E7880","E7880","E7A90","E7A90","E7A90","E9040","E9040","E9040","E9190","E9190","E9190","EA630","EA630","EA630","EAE70","EAE70","EAE70","EAFF0","EAFF0","EAFF0","EAF10","EAF10","EAF10","EB000","EB000","EB000","EB020","EB020","EB020","EB010","EB010","EB010","EB030","EB030","EB030","EB040","EB040","EB040","EB060","EB060","EB060","EB090","EB090","EB090","EB0C0","EB0C0","EB0C0","EB0F0","EB0F0","EB0F0","EB100","EB100","EB100","EB120","EB120","EB120","EB110","EB110","EB110","EB190","EB190","EB190","EB1E0","EB1E0","EB1E0","EB220","EB220","EB220","EB260","EB260","EB260","EB2C0","EB2C0","EB2C0","EB2E0","EB2E0","EB2E0","EB300","EB300","EB300","EB330","EB330","EB330","EB340","EB340","EB340","EB320","EB320","EB320","EB360","EB360","EB360","EB3A0","EB3A0","EB3A0","EB3C0","EB3C0","EB3C0","EB370","EB370","EB370","EB460","EB460","EB460","EB450","EB450","EB450","EB410","EB410","EB410","EB4B0","EB4B0","EB4B0","EB4E0","EB4E0","EB4E0","EB4F0","EB4F0","EB4F0","EB530","EB530","EB530","EB4D0","EB4D0","EB4D0","EB510","EB510","EB510","EB550","EB550","EB550","EB570","EB570","EB570","EB5A0","EB5A0","EB5A0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.007339,0.006188,0.002358,-0.999951,81.644928,2.875163,-194.990036,2.484228,88.162651,2.682513,-201.368301,0.621958,87.077873,2.914014,-190.567627,0.000250,72.628143,2.950088,-198.636871,0.520702,78.711060,2.954035,-189.387360,0.561582,88.170006,2.682503,-201.358551,,,,72.573105,2.950417,-198.685959,78.753929,2.953741,-189.352646,306.222839,208.744949,197.828445,203.787537,206.210449,-136.925125,138.089935,277.228058,92.830948,115.445038,276.752502,91.420593,107.394600,208.006531,119.812439,-95.760864,276.209320,82.634445,-134.844254,207.028366,160.384277,308.848999,205.909149,-133.425873,220.444839,207.607483,75.391617,137.290573,280.713928,70.146141,131.401794,206.755997,53.920288,115.802147,279.211029,98.609261,100.671722,207.320221,191.495239,42.947159,207.526367,-59.302910,8.326292,205.729324,-119.079636,311.286743,206.727432,17.308134,-38.616898,207.526947,-62.796021,-59.113724,205.139236,-36.059196,-79.180672,269.933716,44.628845,-93.081284,205.111832,-79.676056,-105.790771,206.798523,-332.326233,-109.503555,276.577332,71.043587,-127.760933,275.877930,93.541595,-288.814301,206.344254,373.447601,-291.766357,204.975250,166.613907,-292.990448,205.582672,-3.756696,-289.080933,202.666138,-291.529755,-39.175636,207.963699,317.014252,54.016899,206.490875,-55.004700,13.011396,205.444305,-255.715225,-96.067459,206.987167,20.419884,-135.044449,207.911209,163.931274,-171.001984,206.012817,209.152344,160.643585,208.071106,112.886215,33.095127,208.296463,111.904701,3.272748,207.939392,246.184494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.007130,0.006173,0.002542,-0.999952,81.645332,2.872202,-194.985748,2.486829,88.162819,2.679852,-201.364273,0.619518,87.078407,2.907202,-190.563461,0.000250,72.628471,2.951965,-198.632309,0.510313,78.711639,2.949790,-189.382950,0.552367,88.170769,2.679808,-201.356049,,,,72.571320,2.952322,-198.685974,78.755508,2.949505,-189.342529,306.222321,208.740875,197.828995,203.926926,206.358475,-137.308701,138.094498,277.224091,92.834709,115.449951,276.749634,91.424004,107.388046,208.005402,119.826599,-95.761391,276.206604,82.633331,-134.850937,207.030869,160.378174,308.855499,205.901688,-133.431061,220.446106,207.605621,75.390862,137.294830,280.712433,70.146500,131.402451,206.754929,53.925282,115.802475,279.211456,98.610207,100.670433,207.321091,191.500107,42.946781,207.527618,-59.309505,8.400506,205.696442,-119.206635,311.284973,206.721634,17.307379,-38.618511,207.528015,-62.797047,-59.113575,205.139893,-36.056423,-79.192947,269.934723,44.637753,-93.080521,205.113800,-79.675865,-105.790520,206.796448,-332.328522,-109.495544,276.578949,71.052261,-127.758240,275.876343,93.542572,-288.817352,206.342484,373.449677,-291.285034,204.974182,166.375900,-292.975861,205.584305,-3.757417,-289.079346,202.664688,-291.529785,-39.174992,207.962280,317.013031,54.015862,206.490036,-55.005646,13.010681,205.444290,-255.714081,-96.064293,206.985565,20.423149,-135.047577,207.910507,163.923737,-170.520996,206.307816,209.367950,160.642838,208.070877,112.886345,33.095848,208.293884,111.906921,3.265381,207.938416,246.174438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.007014,0.006165,0.002453,-0.999953,81.644699,2.872839,-194.991821,2.485692,88.162109,2.683127,-201.370499,0.617985,87.077850,2.907795,-190.569611,0.000250,72.627762,2.951825,-198.638214,0.518426,78.711090,2.948610,-189.388962,0.559254,88.169983,2.683115,-201.359695,,,,72.570732,2.952230,-198.686996,78.755249,2.948250,-189.355667,306.211548,208.742432,197.828445,203.944260,206.315689,-137.300720,138.097168,277.223145,92.850113,115.448395,276.752686,91.421829,107.387665,208.006622,119.825127,-95.760094,276.210022,82.633522,-134.846283,207.027740,160.385712,308.862518,205.902405,-133.429230,220.444077,207.606888,75.395554,137.285797,280.714996,70.143143,131.400909,206.756348,53.919907,115.800163,279.209290,98.609734,100.670982,207.321121,191.501648,42.949158,207.527679,-59.305935,8.405745,205.696182,-119.217369,311.288269,206.726624,17.310251,-38.621376,207.527802,-62.806202,-59.114582,205.139282,-36.058628,-79.189003,269.933655,44.633163,-93.076797,205.115417,-79.681015,-105.790604,206.798676,-332.326263,-109.496117,276.578644,71.052742,-127.761009,275.874329,93.539742,-288.845642,206.657410,373.396484,-291.258240,204.972214,166.364029,-292.983948,205.583481,-3.756630,-289.128784,202.620438,-291.563171,-39.175610,207.963257,317.016052,54.016304,206.490326,-55.003841,13.010656,205.444519,-255.715729,-96.064911,206.985596,20.421469,-135.047409,207.911377,163.924988,-170.522476,206.307816,209.367401,160.643967,208.070663,112.887131,33.095585,208.297134,111.909721,3.264380,207.936981,246.171783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.007121,0.006334,0.002423,-0.999952,81.645821,2.874419,-194.989700,2.483619,88.165390,2.683742,-201.366135,0.617940,87.077477,2.910664,-190.565674,0.000250,72.630112,2.952060,-198.639160,0.522881,78.710320,2.951211,-189.387848,0.561374,88.172958,2.683738,-201.355011,,,,72.574440,2.952449,-198.686188,78.753868,2.950859,-189.356262,306.217255,208.745163,197.827652,203.944397,206.316284,-137.300964,138.092224,277.226624,92.838623,115.444061,276.751373,91.424149,107.388260,208.006638,119.826553,-95.762520,276.210754,82.634209,-134.846878,207.028671,160.383652,308.858643,205.902649,-133.428131,220.444275,207.606506,75.393791,137.288315,280.713776,70.144981,131.402512,206.756775,53.923256,115.799210,279.211945,98.603020,100.671135,207.320694,191.497223,42.949879,207.527344,-59.308136,8.404993,205.696686,-119.213882,311.281097,206.727127,17.312048,-38.615513,207.527573,-62.797310,-59.114521,205.139954,-36.055946,-79.185448,269.932434,44.628738,-93.073082,205.111694,-79.685593,-105.791473,206.800980,-332.316437,-109.500412,276.579559,71.051498,-127.758286,275.874664,93.545380,-288.813446,206.343109,373.448547,-291.793060,204.970306,166.623444,-292.977112,205.586761,-3.758571,-289.076294,202.664536,-291.524750,-39.175594,207.962540,317.015594,54.013371,206.491058,-55.004425,13.011992,205.444504,-255.715042,-96.065155,206.987350,20.421494,-135.045929,207.911469,163.930328,-170.520477,206.307465,209.368561,160.645233,208.070297,112.887894,33.095856,208.294510,111.902405,3.271842,207.937454,246.182159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.002523,0.003111,0.003301,-0.999987,81.700890,2.827061,-194.944962,2.519247,88.179146,2.684049,-201.364609,0.587824,87.160812,2.813168,-190.555756,0.000250,72.662148,2.953834,-198.535599,0.331255,78.801460,2.857195,-189.323898,0.344189,88.172066,2.684177,-201.359177,,,,72.571198,2.955257,-198.688095,78.901375,2.855411,-189.186066,306.208282,208.743881,197.828064,203.926987,206.358307,-137.309616,138.090073,277.225555,92.838097,115.448868,276.752411,91.423141,107.377815,208.045029,119.836334,-95.760170,276.212433,82.632431,-134.846741,207.028442,160.382416,308.859070,205.905624,-133.427139,220.445709,207.605316,75.391907,137.290329,280.716064,70.145744,131.401825,206.757935,53.920322,115.804718,279.211273,98.611656,100.670471,207.319855,191.499039,42.948811,207.527039,-59.308708,8.331513,205.729843,-119.089386,311.277740,206.726700,17.311968,-38.618416,207.526154,-62.805080,-59.113289,205.139297,-36.057831,-79.187073,269.934998,44.626415,-93.077469,205.114792,-79.681015,-105.791351,206.797028,-332.324829,-109.495071,276.578125,71.054749,-127.766083,275.875153,93.536583,-288.814636,206.343201,373.448975,-291.769592,204.973221,166.614197,-292.998230,205.584717,-3.755978,-289.082184,202.664810,-291.534180,-39.176136,207.963470,317.017090,54.014595,206.489731,-55.004692,13.011932,205.444244,-255.716324,-96.066742,206.985718,20.423115,-135.031601,207.910126,163.959976,-170.520706,206.307251,209.368652,160.642441,208.071716,112.886597,33.094543,208.296280,111.905693,3.268886,207.941772,246.177673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.007007,0.006285,0.002598,-0.999952,81.645004,2.872594,-194.989960,2.486555,88.163895,2.681103,-201.367065,0.614512,87.077095,2.905922,-190.566437,0.000250,72.628975,2.954226,-198.638519,0.512797,78.710060,2.949124,-189.387802,0.559000,88.173904,2.681042,-201.356384,,,,72.568687,2.954698,-198.687561,78.753998,2.948993,-189.355026,306.226563,208.745956,197.827423,203.924210,206.358246,-137.308960,138.092987,277.226440,92.832420,115.448402,276.752014,91.423302,107.393219,208.007141,119.818161,-95.761139,276.208405,82.629845,-134.852188,207.030319,160.376984,308.862793,205.911072,-133.428497,220.449860,207.576401,75.416908,137.292618,280.710999,70.144646,131.400543,206.755829,53.916954,115.800301,279.209747,98.608734,100.669167,207.320114,191.501694,42.948265,207.527023,-59.306347,8.332384,205.729980,-119.090866,311.285889,206.726151,17.308561,-38.616222,207.526443,-62.791016,-59.114258,205.140717,-36.058842,-79.185608,269.932404,44.627510,-93.071556,205.113083,-79.687309,-105.791237,206.799942,-332.321655,-109.499649,276.578705,71.052170,-127.760902,275.873230,93.542519,-288.817139,206.343338,373.448334,-291.281403,204.974655,166.373489,-292.988831,205.583023,-3.756684,-289.079956,202.665497,-291.530060,-39.173920,207.965881,317.010529,54.013939,206.490417,-55.005421,13.010920,205.443985,-255.715179,-96.064308,206.987137,20.423580,-135.046967,207.910294,163.928131,-170.520355,206.307404,209.368256,160.643036,208.070969,112.886337,33.095490,208.294800,111.906052,3.267741,207.937576,246.177628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
