Format Version,1.22,Take Name,crazyflie_hlc4,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,08 Dec 1969 15:54:11 -0500,Total Frames in Take,1187,Total Exported Frames,1187,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,cf,cf,cf,cf,cf,cf,cf,cf,"cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker4","cf:Marker4","cf:Marker4","cf:Marker4",cf:Marker1,cf:Marker1,cf:Marker1,cf:Marker2,cf:Marker2,cf:Marker2,cf:Marker3,cf:Marker3,cf:Marker3,cf:Marker4,cf:Marker4,cf:Marker4,Unlabeled 1336,Unlabeled 1336,Unlabeled 1336,Unlabeled 1337,Unlabeled 1337,Unlabeled 1337,Unlabeled 1338,Unlabeled 1338,Unlabeled 1338,Unlabeled 1339,Unlabeled 1339,Unlabeled 1339,Unlabeled 1340,Unlabeled 1340,Unlabeled 1340,Unlabeled 1341,Unlabeled 1341,Unlabeled 1341,Unlabeled 1342,Unlabeled 1342,Unlabeled 1342,Unlabeled 1343,Unlabeled 1343,Unlabeled 1343,Unlabeled 1344,Unlabeled 1344,Unlabeled 1344,Unlabeled 1345,Unlabeled 1345,Unlabeled 1345,Unlabeled 1346,Unlabeled 1346,Unlabeled 1346,Unlabeled 1347,Unlabeled 1347,Unlabeled 1347,Unlabeled 1348,Unlabeled 1348,Unlabeled 1348,Unlabeled 1349,Unlabeled 1349,Unlabeled 1349,Unlabeled 1350,Unlabeled 1350,Unlabeled 1350,Unlabeled 1351,Unlabeled 1351,Unlabeled 1351,Unlabeled 1352,Unlabeled 1352,Unlabeled 1352,Unlabeled 1353,Unlabeled 1353,Unlabeled 1353,Unlabeled 1354,Unlabeled 1354,Unlabeled 1354,Unlabeled 1355,Unlabeled 1355,Unlabeled 1355,Unlabeled 1356,Unlabeled 1356,Unlabeled 1356,Unlabeled 1357,Unlabeled 1357,Unlabeled 1357,Unlabeled 1358,Unlabeled 1358,Unlabeled 1358,Unlabeled 1359,Unlabeled 1359,Unlabeled 1359,Unlabeled 1360,Unlabeled 1360,Unlabeled 1360,Unlabeled 1361,Unlabeled 1361,Unlabeled 1361,Unlabeled 1362,Unlabeled 1362,Unlabeled 1362,Unlabeled 1363,Unlabeled 1363,Unlabeled 1363,Unlabeled 1364,Unlabeled 1364,Unlabeled 1364,Unlabeled 1365,Unlabeled 1365,Unlabeled 1365,Unlabeled 1366,Unlabeled 1366,Unlabeled 1366,Unlabeled 1367,Unlabeled 1367,Unlabeled 1367,Unlabeled 1368,Unlabeled 1368,Unlabeled 1368,Unlabeled 1369,Unlabeled 1369,Unlabeled 1369,Unlabeled 1370,Unlabeled 1370,Unlabeled 1370,Unlabeled 1371,Unlabeled 1371,Unlabeled 1371,Unlabeled 1372,Unlabeled 1372,Unlabeled 1372,Unlabeled 1373,Unlabeled 1373,Unlabeled 1373,Unlabeled 1377,Unlabeled 1377,Unlabeled 1377,Unlabeled 1379,Unlabeled 1379,Unlabeled 1379,Unlabeled 1380,Unlabeled 1380,Unlabeled 1380,Unlabeled 1386,Unlabeled 1386,Unlabeled 1386,Unlabeled 1388,Unlabeled 1388,Unlabeled 1388,Unlabeled 1389,Unlabeled 1389,Unlabeled 1389,Unlabeled 1390,Unlabeled 1390,Unlabeled 1390,Unlabeled 1391,Unlabeled 1391,Unlabeled 1391,Unlabeled 1392,Unlabeled 1392,Unlabeled 1392,Unlabeled 1394,Unlabeled 1394,Unlabeled 1394,Unlabeled 1395,Unlabeled 1395,Unlabeled 1395,Unlabeled 1396,Unlabeled 1396,Unlabeled 1396,Unlabeled 1397,Unlabeled 1397,Unlabeled 1397,Unlabeled 1398,Unlabeled 1398,Unlabeled 1398,Unlabeled 1400,Unlabeled 1400,Unlabeled 1400,Unlabeled 1401,Unlabeled 1401,Unlabeled 1401,Unlabeled 1403,Unlabeled 1403,Unlabeled 1403,Unlabeled 1404,Unlabeled 1404,Unlabeled 1404,Unlabeled 1405,Unlabeled 1405,Unlabeled 1405,Unlabeled 1407,Unlabeled 1407,Unlabeled 1407,Unlabeled 1411,Unlabeled 1411,Unlabeled 1411,Unlabeled 1412,Unlabeled 1412,Unlabeled 1412,Unlabeled 1413,Unlabeled 1413,Unlabeled 1413,Unlabeled 1414,Unlabeled 1414,Unlabeled 1414,Unlabeled 1415,Unlabeled 1415,Unlabeled 1415
,,"B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","EB200","EB200","EB200","EB2B0","EB2B0","EB2B0","E7460","E7460","E7460","E7490","E7490","E7490","E1D70","E1D70","E1D70","E2910","E2910","E2910","E2DC0","E2DC0","E2DC0","E2E00","E2E00","E2E00","E3320","E3320","E3320","E35B0","E35B0","E35B0","E3610","E3610","E3610","E36D0","E36D0","E36D0","E36E0","E36E0","E36E0","E36F0","E36F0","E36F0","E3700","E3700","E3700","E3710","E3710","E3710","E3720","E3720","E3720","E3740","E3740","E3740","E3760","E3760","E3760","E3770","E3770","E3770","E3780","E3780","E3780","E3790","E3790","E3790","E37A0","E37A0","E37A0","E37B0","E37B0","E37B0","E37D0","E37D0","E37D0","E37F0","E37F0","E37F0","E3800","E3800","E3800","E3830","E3830","E3830","E3850","E3850","E3850","E3860","E3860","E3860","E5840","E5840","E5840","E6BA0","E6BA0","E6BA0","E6BD0","E6BD0","E6BD0","E6BE0","E6BE0","E6BE0","E7880","E7880","E7880","E7A90","E7A90","E7A90","E9040","E9040","E9040","E9190","E9190","E9190","EB530","EB530","EB530","EBF50","EBF50","EBF50","EC090","EC090","EC090","EC0E0","EC0E0","EC0E0","EC120","EC120","EC120","EC130","EC130","EC130","EC150","EC150","EC150","EC1B0","EC1B0","EC1B0","EC180","EC180","EC180","EC1A0","EC1A0","EC1A0","EC1D0","EC1D0","EC1D0","EC200","EC200","EC200","EC1E0","EC1E0","EC1E0","EC230","EC230","EC230","EC240","EC240","EC240","EC260","EC260","EC260","EC270","EC270","EC270","EC250","EC250","EC250","EC2A0","EC2A0","EC2A0","EC2B0","EC2B0","EC2B0","EC2C0","EC2C0","EC2C0","EC2D0","EC2D0","EC2D0","EC2E0","EC2E0","EC2E0","EC2F0","EC2F0","EC2F0","EC330","EC330","EC330","EC350","EC350","EC350","EC360","EC360","EC360","EC380","EC380","EC380","EC390","EC390","EC390"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.003782,0.045560,-0.000461,-0.998954,59.873409,2.732925,189.243774,0.118728,66.873672,2.624661,183.397003,0.644940,64.941368,2.772783,194.080139,0.684173,51.171047,2.779888,184.899323,0.793575,56.507557,2.754368,194.598633,0.690029,66.888786,2.633290,183.533798,64.912102,2.757979,193.985672,51.158966,2.774504,184.961563,56.536316,2.767173,194.492889,306.213196,208.744003,197.822708,203.791550,206.207993,-136.925522,138.091278,277.223511,92.833664,115.446808,276.753906,91.428574,107.392189,208.003860,119.816208,-95.761398,276.209320,82.636086,-134.852173,207.029724,160.377548,308.852783,205.902008,-133.429245,220.442245,207.606201,75.395508,137.291016,280.714417,70.144859,131.369476,206.758972,53.886444,115.800026,279.211487,98.608063,100.670830,207.320313,191.500458,42.948322,207.526276,-59.305424,8.405831,205.696182,-119.216667,311.276123,206.723541,17.309875,-38.619511,207.527634,-62.803577,-59.113861,205.139252,-36.057556,-79.189888,269.934509,44.629704,-93.078423,205.112457,-79.681969,-105.791496,206.798248,-332.324432,-109.497833,276.578186,71.048828,-127.764771,275.872955,93.538536,-288.820404,206.342438,373.449646,-291.766724,204.971191,166.616104,-292.979431,205.582596,-3.758037,-289.270386,202.579590,-291.843414,-39.176640,207.962891,317.021027,54.014111,206.492325,-55.006809,13.010777,205.444260,-255.714035,-95.979675,206.910110,20.788647,-135.047867,207.910294,163.921646,-170.521515,206.306580,209.367233,160.639160,208.071045,112.885117,33.095970,208.294373,111.905876,3.268719,207.939835,246.179230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.003622,0.045619,-0.000583,-0.998952,59.873486,2.731179,189.241150,0.121341,66.874466,2.626537,183.395172,0.634183,64.940865,2.770848,194.078110,0.681385,51.171623,2.777239,184.895676,0.793734,56.506996,2.750093,194.595612,0.677288,66.889015,2.634961,183.536453,64.911606,2.756538,193.985580,51.157993,2.772041,184.957214,56.538795,2.762686,194.484268,306.209747,208.743698,197.825653,203.790695,206.207901,-136.923462,138.090424,277.227570,92.832710,115.447197,276.754852,91.427460,107.392143,208.006195,119.821213,-95.763123,276.209869,82.637680,-134.846237,207.028442,160.383850,308.848877,205.902222,-133.429688,220.442703,207.605698,75.397087,137.287094,280.713806,70.142342,131.369797,206.759903,53.890781,115.797997,279.212585,98.608109,100.669136,207.318787,191.485550,42.948227,207.526657,-59.306210,8.406359,205.696320,-119.214989,311.280273,206.720978,17.310085,-38.619869,207.526703,-62.807560,-59.114105,205.138855,-36.057400,-79.192032,269.933472,44.633530,-93.080048,205.113571,-79.677010,-105.791161,206.799500,-332.320435,-109.503647,276.578003,71.045685,-127.768311,275.872833,93.545280,-288.817688,206.345825,373.447815,-291.764740,204.974243,166.614624,-292.986115,205.586533,-3.755966,-289.617554,202.578598,-292.414093,-39.174946,207.961273,317.014343,54.014420,206.490509,-55.005093,13.010752,205.444077,-255.714935,-96.000084,206.815292,20.771944,-135.046722,207.910187,163.923645,-170.521133,206.306808,209.367706,160.638702,208.072327,112.884834,33.096390,208.294632,111.907516,3.267145,207.937531,246.177856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.003521,0.045578,-0.000574,-0.998954,59.874420,2.730807,189.241913,0.120380,66.874924,2.627288,183.395340,0.639198,64.942192,2.769449,194.078476,0.679071,51.172203,2.777825,184.897156,0.793661,56.508373,2.748664,194.596664,0.684272,66.888390,2.636018,183.535233,64.913139,2.754424,193.982697,51.161003,2.772372,184.959152,56.537609,2.761742,194.489090,306.213837,208.742783,197.826355,203.928680,206.357956,-137.308838,138.092392,277.225769,92.834518,115.446785,276.757294,91.420486,107.376274,208.045715,119.835190,-95.759239,276.208405,82.639267,-134.849792,207.028061,160.378174,308.860413,205.910034,-133.428726,220.452301,207.575302,75.412788,137.286774,280.715881,70.142143,131.402664,206.756622,53.919895,115.799782,279.211426,98.609818,100.672661,207.319122,191.497025,42.947990,207.527893,-59.304237,8.430983,205.540298,-119.225563,311.281738,206.722046,17.306808,-38.621925,207.527786,-62.817932,-59.111698,205.139618,-36.058598,-79.189095,269.933044,44.632519,-93.079376,205.114319,-79.681396,-105.791107,206.798981,-332.326447,-109.503174,276.579712,71.042343,-127.762428,275.875580,93.542641,-288.816559,206.342194,373.448517,-291.748322,204.974243,166.608521,-292.979950,205.584641,-3.758278,-289.127747,202.621201,-291.562866,-39.173931,207.960587,317.010559,54.015182,206.490753,-55.005230,13.011551,205.444748,-255.715485,-95.981255,206.910538,20.786703,-135.031555,207.910919,163.955780,-170.521637,206.306717,209.367538,160.639343,208.071732,112.884796,33.095722,208.295319,111.907455,3.269053,207.937439,246.178009,-6.431817,205.562088,23.841475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.003625,0.045566,-0.000467,-0.998955,59.874146,2.732175,189.242416,0.120715,66.874481,2.625919,183.395691,0.640430,64.942047,2.770648,194.078842,0.681154,51.171833,2.780276,184.897873,0.790251,56.508236,2.751856,194.597229,0.681018,66.889450,2.634238,183.533859,64.911987,2.756333,193.985123,51.159554,2.775060,184.961060,56.538456,2.764415,194.487625,306.197174,208.740280,197.826096,203.926041,206.358765,-137.309052,138.092590,277.224274,92.835190,115.448090,276.754333,91.428467,107.390572,208.005859,119.816734,-95.759598,276.209473,82.637573,-134.847427,207.030518,160.381989,308.846252,205.911118,-133.428635,220.444366,207.606552,75.389336,137.285355,280.715179,70.141586,131.400986,206.756683,53.916092,115.799561,279.215302,98.606400,100.667915,207.321381,191.487717,42.947369,207.528015,-59.307693,8.405046,205.696625,-119.214035,311.278015,206.725937,17.309444,-38.618626,207.529327,-62.812233,,,,-79.187538,269.935303,44.631374,-93.083862,205.112335,-79.671669,-105.791786,206.799347,-332.322815,-109.500313,276.578796,71.047592,-127.758217,275.876099,93.545067,-288.815613,206.342026,373.447937,-291.272064,204.974701,166.368149,-292.983398,205.585022,-3.757677,-289.618286,202.577118,-292.409515,-39.175644,207.963303,317.019226,54.017181,206.491226,-55.004257,13.010990,205.444717,-255.714752,-96.065018,206.987335,20.423174,-135.047775,207.910202,163.921539,-170.520477,206.307083,209.367920,160.639023,208.070786,112.885216,33.096554,208.294586,111.907219,3.269410,207.937378,246.180603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.003581,0.045497,-0.000424,-0.998958,59.874039,2.732645,189.243561,0.119275,66.873566,2.626356,183.395874,0.640175,64.942604,2.770245,194.079300,0.683712,51.171135,2.781875,184.900223,0.795352,56.508862,2.752105,194.598846,0.688012,66.887993,2.635086,183.535416,64.914482,2.755358,193.984726,51.158798,2.776437,184.961700,56.537640,2.765066,194.491989,306.207886,208.741882,197.827072,203.927902,206.358597,-137.309189,138.095322,277.227570,92.836670,115.446785,276.755493,91.425148,107.387566,208.005997,119.825172,-95.762817,276.209625,82.638138,-134.850601,207.028381,160.379547,308.855408,205.909317,-133.428818,220.450043,207.577164,75.414230,137.287430,280.714874,70.142548,131.399063,206.756882,53.917152,115.799965,279.208557,98.609245,100.673256,207.319931,191.494751,42.949551,207.527847,-59.306717,8.332348,205.729080,-119.088364,311.279785,206.725128,17.307755,-38.619049,207.529282,-62.807011,,,,-79.184128,269.932831,44.628536,-93.083763,205.112625,-79.671097,-105.792068,206.800247,-332.317780,-109.503365,276.578796,71.044830,-127.765259,275.877563,93.538490,-288.820709,206.345154,373.449432,-292.493713,204.902069,166.982819,-293.011658,205.584381,-3.757042,-289.130066,202.620026,-291.562134,-39.175972,207.962448,317.021606,54.016846,206.491180,-55.005234,13.010955,205.443832,-255.716324,-96.065964,206.986832,20.422291,-135.032074,207.910782,163.952164,-170.522095,206.306595,209.367020,160.639160,208.071472,112.885681,33.096951,208.296707,111.906181,3.269863,207.939072,246.179062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
