Format Version,1.22,Take Name,crazyflie_hlc7,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,08 Dec 1969 15:56:22 -0500,Total Frames in Take,1142,Total Exported Frames,1142,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,cf,cf,cf,cf,cf,cf,cf,cf,"cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker4","cf:Marker4","cf:Marker4","cf:Marker4",cf:Marker1,cf:Marker1,cf:Marker1,cf:Marker2,cf:Marker2,cf:Marker2,cf:Marker3,cf:Marker3,cf:Marker3,cf:Marker4,cf:Marker4,cf:Marker4,Unlabeled 1641,Unlabeled 1641,Unlabeled 1641,Unlabeled 1642,Unlabeled 1642,Unlabeled 1642,Unlabeled 1643,Unlabeled 1643,Unlabeled 1643,Unlabeled 1644,Unlabeled 1644,Unlabeled 1644,Unlabeled 1645,Unlabeled 1645,Unlabeled 1645,Unlabeled 1646,Unlabeled 1646,Unlabeled 1646,Unlabeled 1647,Unlabeled 1647,Unlabeled 1647,Unlabeled 1648,Unlabeled 1648,Unlabeled 1648,Unlabeled 1649,Unlabeled 1649,Unlabeled 1649,Unlabeled 1650,Unlabeled 1650,Unlabeled 1650,Unlabeled 1651,Unlabeled 1651,Unlabeled 1651,Unlabeled 1652,Unlabeled 1652,Unlabeled 1652,Unlabeled 1653,Unlabeled 1653,Unlabeled 1653,Unlabeled 1654,Unlabeled 1654,Unlabeled 1654,Unlabeled 1655,Unlabeled 1655,Unlabeled 1655,Unlabeled 1656,Unlabeled 1656,Unlabeled 1656,Unlabeled 1657,Unlabeled 1657,Unlabeled 1657,Unlabeled 1658,Unlabeled 1658,Unlabeled 1658,Unlabeled 1659,Unlabeled 1659,Unlabeled 1659,Unlabeled 1660,Unlabeled 1660,Unlabeled 1660,Unlabeled 1661,Unlabeled 1661,Unlabeled 1661,Unlabeled 1662,Unlabeled 1662,Unlabeled 1662,Unlabeled 1663,Unlabeled 1663,Unlabeled 1663,Unlabeled 1664,Unlabeled 1664,Unlabeled 1664,Unlabeled 1665,Unlabeled 1665,Unlabeled 1665,Unlabeled 1666,Unlabeled 1666,Unlabeled 1666,Unlabeled 1667,Unlabeled 1667,Unlabeled 1667,Unlabeled 1668,Unlabeled 1668,Unlabeled 1668,Unlabeled 1669,Unlabeled 1669,Unlabeled 1669,Unlabeled 1670,Unlabeled 1670,Unlabeled 1670,Unlabeled 1671,Unlabeled 1671,Unlabeled 1671,Unlabeled 1672,Unlabeled 1672,Unlabeled 1672,Unlabeled 1673,Unlabeled 1673,Unlabeled 1673,Unlabeled 1674,Unlabeled 1674,Unlabeled 1674,Unlabeled 1675,Unlabeled 1675,Unlabeled 1675,Unlabeled 1676,Unlabeled 1676,Unlabeled 1676,Unlabeled 1683,Unlabeled 1683,Unlabeled 1683,Unlabeled 1684,Unlabeled 1684,Unlabeled 1684,Unlabeled 1686,Unlabeled 1686,Unlabeled 1686,Unlabeled 1687,Unlabeled 1687,Unlabeled 1687,Unlabeled 1688,Unlabeled 1688,Unlabeled 1688,Unlabeled 1689,Unlabeled 1689,Unlabeled 1689,Unlabeled 1691,Unlabeled 1691,Unlabeled 1691,Unlabeled 1694,Unlabeled 1694,Unlabeled 1694,Unlabeled 1698,Unlabeled 1698,Unlabeled 1698,Unlabeled 1700,Unlabeled 1700,Unlabeled 1700,Unlabeled 1703,Unlabeled 1703,Unlabeled 1703,Unlabeled 1704,Unlabeled 1704,Unlabeled 1704,Unlabeled 1706,Unlabeled 1706,Unlabeled 1706,Unlabeled 1707,Unlabeled 1707,Unlabeled 1707,Unlabeled 1709,Unlabeled 1709,Unlabeled 1709,Unlabeled 1710,Unlabeled 1710,Unlabeled 1710,Unlabeled 1712,Unlabeled 1712,Unlabeled 1712,Unlabeled 1713,Unlabeled 1713,Unlabeled 1713,Unlabeled 1714,Unlabeled 1714,Unlabeled 1714,Unlabeled 1715,Unlabeled 1715,Unlabeled 1715,Unlabeled 1717,Unlabeled 1717,Unlabeled 1717,Unlabeled 1719,Unlabeled 1719,Unlabeled 1719,Unlabeled 1720,Unlabeled 1720,Unlabeled 1720,Unlabeled 1721,Unlabeled 1721,Unlabeled 1721,Unlabeled 1722,Unlabeled 1722,Unlabeled 1722,Unlabeled 1724,Unlabeled 1724,Unlabeled 1724,Unlabeled 1725,Unlabeled 1725,Unlabeled 1725,Unlabeled 1727,Unlabeled 1727,Unlabeled 1727,Unlabeled 1728,Unlabeled 1728,Unlabeled 1728,Unlabeled 1729,Unlabeled 1729,Unlabeled 1729,Unlabeled 1730,Unlabeled 1730,Unlabeled 1730,Unlabeled 1732,Unlabeled 1732,Unlabeled 1732,Unlabeled 1733,Unlabeled 1733,Unlabeled 1733,Unlabeled 1736,Unlabeled 1736,Unlabeled 1736
,,"B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","B33234B2743411F0DFF24AA584E86B9E","EDD50","EDD50","EDD50","EDEE0","EDEE0","EDEE0","EDD10","EDD10","EDD10","EDDC0","EDDC0","EDDC0","ECA00","ECA00","ECA00","ECA40","ECA40","ECA40","ECA50","ECA50","ECA50","ECA60","ECA60","ECA60","ECA70","ECA70","ECA70","ECA90","ECA90","ECA90","ECAA0","ECAA0","ECAA0","ECAB0","ECAB0","ECAB0","ECAC0","ECAC0","ECAC0","ECAD0","ECAD0","ECAD0","ECAE0","ECAE0","ECAE0","ECAF0","ECAF0","ECAF0","ECB00","ECB00","ECB00","ECB10","ECB10","ECB10","ECB20","ECB20","ECB20","ECB30","ECB30","ECB30","ECB40","ECB40","ECB40","ECB70","ECB70","ECB70","ECB80","ECB80","ECB80","ECBB0","ECBB0","ECBB0","ECBC0","ECBC0","ECBC0","ECBD0","ECBD0","ECBD0","ECBE0","ECBE0","ECBE0","ECBF0","ECBF0","ECBF0","ECC00","ECC00","ECC00","ECC10","ECC10","ECC10","ECC20","ECC20","ECC20","ECC30","ECC30","ECC30","ECC40","ECC40","ECC40","ECC50","ECC50","ECC50","ECC60","ECC60","ECC60","ECC70","ECC70","ECC70","ECC80","ECC80","ECC80","ECC90","ECC90","ECC90","EEF50","EEF50","EEF50","EF380","EF380","EF380","EF3E0","EF3E0","EF3E0","EF3F0","EF3F0","EF3F0","EF400","EF400","EF400","EF430","EF430","EF430","EF450","EF450","EF450","EF460","EF460","EF460","EF470","EF470","EF470","EF4B0","EF4B0","EF4B0","EF480","EF480","EF480","EF520","EF520","EF520","EF530","EF530","EF530","EF550","EF550","EF550","EF540","EF540","EF540","EF570","EF570","EF570","EF5A0","EF5A0","EF5A0","EF5C0","EF5C0","EF5C0","EF590","EF590","EF590","EF5F0","EF5F0","EF5F0","EF5E0","EF5E0","EF5E0","EF5D0","EF5D0","EF5D0","EF600","EF600","EF600","EF620","EF620","EF620","EF650","EF650","EF650","EF640","EF640","EF640","EF660","EF660","EF660","EF690","EF690","EF690","EF6B0","EF6B0","EF6B0","EF6A0","EF6A0","EF6A0","EF6D0","EF6D0","EF6D0","EF6C0","EF6C0","EF6C0","EF6E0","EF6E0","EF6E0","EF6F0","EF6F0","EF6F0","EF710","EF710","EF710","EECD0","EECD0","EECD0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.005005,-0.008536,0.003389,-0.999945,-165.426910,2.145450,-92.371460,0.143453,-159.100067,1.969103,-98.939568,0.882043,-159.866165,2.151319,-88.110680,0.664735,-174.546860,2.257454,-95.751030,0.393577,-168.194534,2.203922,-86.684570,0.625110,-159.092133,1.964012,-98.951698,-159.949905,2.163013,-88.141403,-174.402328,2.274594,-95.542145,-168.207687,2.187880,-86.766335,220.444565,207.606293,75.388885,311.281158,206.723907,17.308409,308.856812,205.901642,-133.431839,306.121918,208.769516,197.836121,203.792099,206.209778,-136.924774,138.094070,277.225067,92.831947,137.287506,280.715240,70.141357,131.400665,206.755478,53.916603,115.800606,279.210205,98.609230,115.449524,276.750488,91.426353,107.377159,208.045334,119.840134,100.672722,207.320923,191.499176,54.014725,206.490631,-55.006004,42.950855,207.528732,-59.308647,33.096237,208.294922,111.905777,13.011360,205.444382,-255.716248,8.333885,205.729126,-119.090416,-38.624321,207.526474,-62.820290,-39.176296,207.959991,317.019592,-59.115021,205.138947,-36.058071,-79.188385,269.934235,44.633282,-93.069649,205.115158,-79.691505,-95.760086,276.210663,82.642128,-95.981766,206.911545,20.786655,-105.791687,206.801346,-332.320801,-109.497261,276.578430,71.050835,-127.764786,275.876587,93.542015,-134.845383,207.030655,160.383087,-135.046509,207.907959,163.920593,-170.520355,206.306717,209.368210,-288.815460,206.342316,373.448273,-289.600372,202.574402,-292.375946,-291.763306,204.975266,166.617722,-292.978729,205.585938,-3.757658,-195.831711,206.422546,-20.257313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.004225,-0.009451,0.003060,-0.999942,-165.417023,2.135553,-92.360840,0.140359,-159.102081,1.973556,-98.940765,0.884666,-159.848495,2.138258,-88.110222,0.647184,-174.543198,2.247074,-95.723557,0.427001,-168.174286,2.183324,-86.668808,0.637555,-159.092285,1.963513,-98.952057,-159.948044,2.163411,-88.142929,-174.404755,2.277063,-95.539795,-168.179535,2.151612,-86.742989,220.444366,207.606339,75.391426,311.275177,206.722137,17.310080,308.865784,205.903076,-133.430923,306.123108,208.766754,197.836441,203.791733,206.208664,-136.925659,138.092941,277.225800,92.825226,137.290878,280.714539,70.148338,131.401291,206.756287,53.920998,115.800034,279.211334,98.607704,115.448936,276.753540,91.424202,107.380234,208.045166,119.832993,100.672600,207.321930,191.497299,54.016209,206.489731,-55.004227,42.950012,207.530045,-59.305347,33.096802,208.295059,111.907913,13.011206,205.444687,-255.715561,8.404385,205.695633,-119.206688,-38.624237,207.526230,-62.819313,-39.174660,207.964279,317.015350,-59.116215,205.138702,-36.059044,-79.183723,269.932068,44.627701,-93.073563,205.114532,-79.684830,-95.758926,276.208740,82.639381,-96.065811,206.987381,20.419884,-105.792366,206.801941,-332.315552,-109.500122,276.581055,71.049690,-127.766891,275.875061,93.543228,-134.846466,207.030838,160.383560,-135.044601,207.908676,163.924316,-170.520813,206.307388,209.367325,-288.813171,206.346542,373.446930,-289.636230,202.574112,-292.449188,-291.744507,204.974319,166.610474,-292.972656,205.584549,-3.758320,-195.832581,206.421829,-20.256264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.004782,-0.008481,0.003387,-0.999947,-165.426010,2.143414,-92.368332,0.143951,-159.098450,1.969986,-98.935822,0.888785,-159.865753,2.147380,-88.106934,0.665384,-174.545593,2.256933,-95.748871,0.381355,-168.194275,2.199356,-86.681725,0.624965,-159.089600,1.964740,-98.950409,-159.947998,2.159221,-88.137383,-174.397736,2.275479,-95.530769,-168.209518,2.182940,-86.761703,220.444580,207.605316,75.389671,311.275421,206.720901,17.308088,308.854858,205.902618,-133.430573,306.125977,208.767181,197.835205,203.791382,206.210709,-136.925262,138.092331,277.227081,92.835854,137.286591,280.714996,70.142433,131.401306,206.755188,53.920044,115.803276,279.209534,98.608437,115.446785,276.750122,91.427872,107.393028,208.005615,119.816444,100.672043,207.321899,191.500931,54.014660,206.490448,-55.005199,42.950569,207.527847,-59.304409,33.095718,208.295013,111.905884,13.012123,205.444885,-255.717377,8.332896,205.728058,-119.087601,-38.621609,207.527634,-62.808346,-39.173920,207.961914,317.014160,-59.115242,205.138275,-36.057713,-79.188606,269.933289,44.630157,-93.069748,205.115723,-79.690933,-95.762131,276.209320,82.636322,-95.988823,206.818604,20.780516,-105.790665,206.797531,-332.327515,-109.498405,276.579712,71.050262,-127.762589,275.876099,93.543503,-134.848740,207.030441,160.382126,-135.046356,207.908936,163.922592,-170.518524,206.307266,209.369019,-288.814636,206.344482,373.448517,-289.086243,202.664642,-291.534790,-291.761505,204.971909,166.612717,-292.968842,205.587311,-3.758571,-195.833969,206.423141,-20.257702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.004775,-0.008612,0.003713,-0.999945,-165.423767,2.147883,-92.365814,0.140729,-159.098022,1.970400,-98.934944,0.889973,-159.862396,2.148181,-88.105858,0.674025,-174.544159,2.267379,-95.743980,0.401604,-168.190521,2.205570,-86.678490,0.627108,-159.089340,1.965302,-98.948883,-159.945328,2.159979,-88.133240,-174.402328,2.284143,-95.536507,-168.204468,2.189426,-86.762085,220.444366,207.606216,75.389534,311.280334,206.722427,17.307547,308.856903,205.899185,-133.428635,306.127533,208.766479,197.836548,203.945160,206.315750,-137.300934,138.093430,277.225403,92.833519,137.285858,280.716125,70.142479,131.400299,206.756287,53.917702,115.800163,279.210052,98.608521,115.450241,276.751343,91.423393,107.391426,208.006287,119.820358,100.670609,207.320816,191.485306,54.013588,206.491013,-55.004875,42.949112,207.529205,-59.307472,33.094997,208.294205,111.905540,13.012445,205.444931,-255.716873,8.398763,205.553268,-119.162132,-38.621693,207.528061,-62.809395,-39.174797,207.961105,317.017944,-59.115990,205.140549,-36.057270,-79.183258,269.931702,44.633495,-93.073845,205.113388,-79.684258,-95.760513,276.210052,82.642639,-96.066132,206.987137,20.420610,-105.791794,206.801056,-332.318237,-109.503082,276.577759,71.042061,-127.768242,275.873718,93.541061,-134.848953,207.031418,160.380844,-135.047333,207.908325,163.920303,-170.518799,206.306976,209.369492,-288.818085,206.345154,373.448883,-289.079559,202.665070,-291.535431,-291.768066,204.972321,166.616821,-292.973419,205.585236,-3.759116,-195.830994,206.422668,-20.252081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.003908,-0.009283,0.003282,-0.999944,-165.417725,2.140259,-92.356178,0.138436,-159.100632,1.979564,-98.934074,0.891360,-159.850647,2.137793,-88.103676,0.652070,-174.542709,2.257990,-95.721909,0.426842,-168.176895,2.185690,-86.665054,0.645370,-159.089752,1.968430,-98.946884,-159.948441,2.165476,-88.136963,-174.403732,2.291464,-95.536026,-168.184998,2.150875,-86.736572,220.444519,207.606934,75.390068,311.280762,206.721466,17.306953,308.858917,205.909653,-133.428864,306.125916,208.767746,197.833572,203.791885,206.211807,-136.924713,138.091858,277.225739,92.824081,137.290359,280.713043,70.143761,131.370514,206.761673,53.890621,115.801620,279.212738,98.607803,115.448723,276.755920,91.424194,107.390427,208.006744,119.821594,100.673653,207.321426,191.495148,54.014599,206.490875,-55.004414,42.949432,207.529312,-59.307789,33.094742,208.294418,111.903595,13.011038,205.444260,-255.714798,8.404017,205.697632,-119.206329,-38.623936,207.528381,-62.811707,-39.173363,207.961868,317.010559,-59.115845,205.138397,-36.056873,-79.187920,269.935150,44.636036,-93.066498,205.114120,-79.695320,-95.759315,276.210175,82.640144,-95.989357,206.818298,20.779873,-105.790970,206.796646,-332.326843,-109.512711,276.579468,71.035477,-127.762939,275.874268,93.542419,-134.847046,207.030823,160.383224,-135.048264,207.908493,163.914871,-170.519119,206.307510,209.368896,-288.818939,206.348587,373.452606,-289.258972,202.574966,-291.825104,-291.757385,204.974396,166.612823,-292.988617,205.584595,-3.757465,-195.832565,206.423538,-20.252712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.004520,-0.008855,0.003625,-0.999944,-165.423828,2.149028,-92.366577,0.141880,-159.101227,1.975984,-98.938866,0.886983,-159.860382,2.148079,-88.109322,0.667865,-174.545868,2.268719,-95.740250,0.398500,-168.187820,2.203331,-86.677872,0.627852,-159.091187,1.970561,-98.950768,-159.942795,2.160620,-88.142403,-174.405136,2.286634,-95.528130,-168.203751,2.186413,-86.760674,220.444778,207.607315,75.390572,311.276031,206.723206,17.310379,308.851776,205.909988,-133.426636,306.126312,208.768768,197.835388,203.792816,206.209396,-136.926254,138.090927,277.226105,92.832092,137.290787,280.715454,70.142944,131.401993,206.755859,53.925343,115.801201,279.213593,98.606949,115.449249,276.751007,91.427315,107.390617,208.005646,119.822838,100.673119,207.322739,191.499222,54.015320,206.490585,-55.005066,42.947903,207.527664,-59.308571,33.095707,208.294968,111.906586,13.010216,205.444748,-255.714493,8.331692,205.728287,-119.083977,-38.619293,207.528061,-62.809395,-39.175014,207.959885,317.018097,-59.114231,205.138474,-36.057041,-79.188766,269.933716,44.633984,-93.070511,205.115799,-79.688454,-95.763107,276.208557,82.638718,-96.064980,206.986954,20.419693,-105.791428,206.801056,-332.321198,-109.499451,276.579010,71.051979,-127.761497,275.872162,93.539085,-134.844803,207.032303,160.386902,-135.046600,207.908676,163.921356,-170.519852,206.306915,209.368317,-288.815674,206.342667,373.448639,-289.085327,202.666046,-291.534668,-291.805939,204.973602,166.629929,-292.988007,205.586487,-3.754687,-195.831924,206.423218,-20.253355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
