Format Version,1.22,Take Name,crazyflie_traj11,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,24 Jan 1970 06:57:57 -0500,Total Frames in Take,887,Total Exported Frames,887,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,cf,cf,cf,cf,cf,cf,cf,cf,"cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker4","cf:Marker4","cf:Marker4","cf:Marker4",cf:Marker1,cf:Marker1,cf:Marker1,cf:Marker2,cf:Marker2,cf:Marker2,cf:Marker3,cf:Marker3,cf:Marker3,cf:Marker4,cf:Marker4,cf:Marker4,Unlabeled 2246,Unlabeled 2246,Unlabeled 2246,Unlabeled 2247,Unlabeled 2247,Unlabeled 2247,Unlabeled 2248,Unlabeled 2248,Unlabeled 2248,Unlabeled 2249,Unlabeled 2249,Unlabeled 2249,Unlabeled 2250,Unlabeled 2250,Unlabeled 2250,Unlabeled 2251,Unlabeled 2251,Unlabeled 2251,Unlabeled 2252,Unlabeled 2252,Unlabeled 2252,Unlabeled 2253,Unlabeled 2253,Unlabeled 2253,Unlabeled 2254,Unlabeled 2254,Unlabeled 2254,Unlabeled 2255,Unlabeled 2255,Unlabeled 2255,Unlabeled 2256,Unlabeled 2256,Unlabeled 2256,Unlabeled 2257,Unlabeled 2257,Unlabeled 2257,Unlabeled 2258,Unlabeled 2258,Unlabeled 2258,Unlabeled 2259,Unlabeled 2259,Unlabeled 2259,Unlabeled 2260,Unlabeled 2260,Unlabeled 2260,Unlabeled 2261,Unlabeled 2261,Unlabeled 2261,Unlabeled 2262,Unlabeled 2262,Unlabeled 2262,Unlabeled 2263,Unlabeled 2263,Unlabeled 2263,Unlabeled 2264,Unlabeled 2264,Unlabeled 2264,Unlabeled 2265,Unlabeled 2265,Unlabeled 2265,Unlabeled 2266,Unlabeled 2266,Unlabeled 2266,Unlabeled 2267,Unlabeled 2267,Unlabeled 2267,Unlabeled 2268,Unlabeled 2268,Unlabeled 2268,Unlabeled 2269,Unlabeled 2269,Unlabeled 2269,Unlabeled 2270,Unlabeled 2270,Unlabeled 2270,Unlabeled 2271,Unlabeled 2271,Unlabeled 2271,Unlabeled 2272,Unlabeled 2272,Unlabeled 2272,Unlabeled 2273,Unlabeled 2273,Unlabeled 2273,Unlabeled 2274,Unlabeled 2274,Unlabeled 2274,Unlabeled 2275,Unlabeled 2275,Unlabeled 2275,Unlabeled 2276,Unlabeled 2276,Unlabeled 2276,Unlabeled 2277,Unlabeled 2277,Unlabeled 2277,Unlabeled 2278,Unlabeled 2278,Unlabeled 2278,Unlabeled 2279,Unlabeled 2279,Unlabeled 2279,Unlabeled 2280,Unlabeled 2280,Unlabeled 2280,Unlabeled 2282,Unlabeled 2282,Unlabeled 2282,Unlabeled 2285,Unlabeled 2285,Unlabeled 2285,Unlabeled 2286,Unlabeled 2286,Unlabeled 2286,Unlabeled 2287,Unlabeled 2287,Unlabeled 2287,Unlabeled 2288,Unlabeled 2288,Unlabeled 2288,Unlabeled 2289,Unlabeled 2289,Unlabeled 2289,Unlabeled 2291,Unlabeled 2291,Unlabeled 2291
,,"32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","F7330","F7330","F7330","F6B30","F6B30","F6B30","F7730","F7730","F7730","F77D0","F77D0","F77D0","D50F0","D50F0","D50F0","D5140","D5140","D5140","D51E0","D51E0","D51E0","D51F0","D51F0","D51F0","D5210","D5210","D5210","D5220","D5220","D5220","D5250","D5250","D5250","D52B0","D52B0","D52B0","D52E0","D52E0","D52E0","D52F0","D52F0","D52F0","D5300","D5300","D5300","EC0B0","EC0B0","EC0B0","ED6D0","ED6D0","ED6D0","ED7B0","ED7B0","ED7B0","ED830","ED830","ED830","EE8E0","EE8E0","EE8E0","F1C40","F1C40","F1C40","F21A0","F21A0","F21A0","F2320","F2320","F2320","F3B60","F3B60","F3B60","F3D10","F3D10","F3D10","F3FF0","F3FF0","F3FF0","F40D0","F40D0","F40D0","F4120","F4120","F4120","F42B0","F42B0","F42B0","F42D0","F42D0","F42D0","F47B0","F47B0","F47B0","F4E20","F4E20","F4E20","F6220","F6220","F6220","F6DF0","F6DF0","F6DF0","F7060","F7060","F7060","F70D0","F70D0","F70D0","F70F0","F70F0","F70F0","F79D0","F79D0","F79D0","F7A00","F7A00","F7A00","F7120","F7120","F7120","F7AC0","F7AC0","F7AC0","F7AB0","F7AB0","F7AB0","F7AD0","F7AD0","F7AD0","F7AE0","F7AE0","F7AE0","F7B00","F7B00","F7B00","F7B10","F7B10","F7B10"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.002378,-0.706202,0.001487,-0.708005,-126.240631,3.239034,170.699524,0.050496,-119.047531,3.305979,177.855225,0.882437,-133.556839,2.904973,167.520401,0.902633,-133.305527,3.139863,172.966385,0.867070,-119.052650,3.605321,164.456085,0.842898,-119.027016,3.308972,177.813965,-133.573700,2.908893,167.547806,-133.353363,3.133694,172.947739,-119.006836,3.604335,164.489120,-104.452789,278.169983,97.703674,138.091370,277.223419,92.820549,-79.194221,269.927979,44.633530,-105.790184,206.796234,-332.348175,-127.755104,275.870239,93.527565,-149.134583,205.667923,49.626381,-293.001373,205.577332,-3.758249,-288.810333,206.347900,373.436890,115.459129,276.738190,91.416939,137.303955,280.706848,70.150848,-135.123322,207.905869,163.129608,-109.488297,276.576904,71.048065,-292.823456,204.881790,167.168839,183.285355,207.628174,40.378925,-96.061012,206.983261,20.427238,-196.302582,206.430527,-20.892387,13.007795,205.441147,-255.716232,-38.650494,207.549866,-62.960289,8.407853,205.691986,-119.218269,54.004593,206.488159,-55.007763,131.402893,206.753845,53.925301,-100.868080,207.833649,505.414642,89.287926,207.645035,16.365389,33.131252,207.483551,-36.209007,203.923340,206.355286,-137.310089,-25.114704,207.813385,273.614899,113.576080,207.761551,85.467468,112.398109,274.267242,62.111221,310.493988,209.139175,374.375488,311.267700,206.700760,17.307934,306.205658,208.727676,197.820267,308.833374,205.887741,-133.425323,-289.062775,202.657913,-291.531433,220.436432,207.607574,75.399727,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.002953,-0.706588,0.000973,-0.707618,-126.238777,3.234149,170.719833,0.040337,-119.037926,3.312779,177.867630,0.933619,-133.557953,2.888568,167.548782,0.924645,-133.301010,3.124330,172.994461,0.900966,-119.058228,3.610920,164.468475,0.837399,-119.033623,3.320435,177.829163,-133.575745,2.903240,167.540680,-133.334244,3.107245,173.019485,-119.007614,3.604543,164.493591,-104.455544,278.171295,97.708832,138.091629,277.221802,92.827225,-79.185066,269.929657,44.625984,-105.789734,206.796524,-332.354034,-127.757919,275.869324,93.528664,-149.132782,205.667465,49.623882,-293.005066,205.574326,-3.760365,-288.809052,206.349487,373.434937,115.456100,276.737885,91.415749,137.308395,280.704376,70.154480,-135.125137,207.906342,163.121506,-109.490585,276.575653,71.043777,-292.825165,204.883759,167.166870,183.287903,207.630066,40.379097,-96.062347,206.982758,20.424831,-196.302216,206.429672,-20.889406,13.007891,205.441498,-255.717712,-38.654987,207.549545,-62.984921,8.405762,205.691528,-119.214355,54.004002,206.489731,-55.007179,131.427124,206.714661,53.945065,-100.869217,207.834167,505.421814,89.288185,207.647583,16.365652,33.132332,207.482101,-36.209602,203.924393,206.356094,-137.309952,-25.113832,207.811569,273.616455,113.575600,207.761963,85.468887,112.394905,274.263733,62.104881,310.495270,209.140396,374.377441,311.273621,206.702286,17.303392,306.206421,208.726639,197.820602,308.837982,205.885742,-133.425720,-289.058716,202.659393,-291.526215,220.433594,207.610352,75.388245,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.002992,-0.705910,0.001534,-0.708294,-126.245430,3.238744,170.699768,0.048080,-119.058243,3.318151,177.861298,0.884540,-133.558746,2.895835,167.514984,0.910399,-133.312088,3.136014,172.960938,0.878447,-119.052628,3.604974,164.461884,0.845818,-119.038864,3.319792,177.819077,-133.574768,2.896703,167.539185,-133.357574,3.133224,172.945404,-119.008423,3.605265,164.495865,-104.460213,278.170044,97.711739,138.090134,277.225189,92.812492,-79.186020,269.927277,44.628525,-105.790154,206.794998,-332.348083,-127.753723,275.866974,93.529572,-149.131348,205.667191,49.618858,-293.010040,205.577087,-3.759938,-288.809204,206.347473,373.432556,115.461983,276.737274,91.420021,137.302704,280.707031,70.153664,-135.124374,207.905228,163.125320,-109.488388,276.576935,71.049690,-292.813141,204.882172,167.159058,183.297714,207.624084,40.343006,-96.063324,206.980972,20.423794,-196.302658,206.430054,-20.891376,13.008642,205.441040,-255.716064,-38.635670,207.536606,-62.852623,8.408608,205.690842,-119.223045,54.005760,206.489655,-55.007511,131.401291,206.753876,53.919315,-100.859573,207.850555,505.390411,89.288658,207.646469,16.370184,33.132259,207.483551,-36.213337,203.925781,206.355362,-137.309982,-25.112993,207.812469,273.616150,113.576332,207.759567,85.468712,112.391327,274.263062,62.104057,310.493042,209.136108,374.374786,311.255920,206.700165,17.309692,306.210632,208.728745,197.820648,308.840637,205.888245,-133.427338,-289.061401,202.658539,-291.530975,220.435471,207.608612,75.399078,0.160939,208.041672,348.780579,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.003191,-0.705877,0.001728,-0.708325,-126.251129,3.240265,170.701324,0.041321,-119.064590,3.323687,177.863449,0.900706,-133.564163,2.895553,167.516068,0.932504,-133.317993,3.138761,172.961899,0.876841,-119.057762,3.603060,164.463882,0.876735,-119.041893,3.327279,177.832886,-133.574158,2.901194,167.535828,-133.365219,3.130896,172.947388,-119.023300,3.601257,164.488739,-104.455856,278.171021,97.708199,138.095383,277.221313,92.829559,-79.195595,269.929565,44.635414,-105.790138,206.796265,-332.344116,-127.759338,275.867859,93.527977,-149.134003,205.667786,49.623932,-293.013000,205.575256,-3.759247,-288.808441,206.347305,373.434021,115.460762,276.737335,91.420448,137.302856,280.708679,70.152069,-135.109741,207.906433,163.154510,-109.480377,276.576172,71.058273,-292.826019,204.880112,167.169937,183.296768,207.626984,40.346069,-96.060265,206.981735,20.426392,-196.302917,206.431000,-20.893551,13.008094,205.440903,-255.716156,-38.637287,207.536896,-62.869526,8.400311,205.546494,-119.167580,54.003399,206.488251,-55.007755,131.402664,206.753784,53.921963,-100.866638,207.837097,505.417236,89.287979,207.644608,16.368618,33.131943,207.483078,-36.212151,203.924225,206.356232,-137.310410,-25.115417,207.811905,273.615173,113.576385,207.760742,85.468552,112.398636,274.263916,62.107849,310.497528,209.139877,374.380646,311.265198,206.702637,17.308401,306.201782,208.727234,197.820984,308.836975,205.887573,-133.425232,-289.057617,202.660126,-291.521118,220.433624,207.609207,75.384529,0.162464,208.044083,348.777527,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.003010,-0.706396,0.001092,-0.707810,-126.244736,3.235064,170.717728,0.034976,-119.047760,3.314851,177.869400,0.939784,-133.562210,2.889325,167.542786,0.933700,-133.308212,3.126419,172.988541,0.913358,-119.060753,3.609660,164.470169,0.863401,-119.044472,3.319847,177.833694,-133.574844,2.898188,167.533264,-133.336807,3.115682,173.013351,-119.020309,3.605890,164.493378,-104.462967,278.168152,97.714363,138.094849,277.221405,92.833092,-79.185890,269.923126,44.627930,-105.790619,206.796951,-332.350922,-127.752396,275.870026,93.526398,-149.135010,205.666473,49.626572,-293.013916,205.576416,-3.757471,-288.806427,206.345444,373.433777,115.456299,276.736176,91.422813,137.308197,280.704895,70.152580,-135.108536,207.905289,163.156982,-109.482864,276.575073,71.054550,-292.817535,204.883331,167.162491,183.297363,207.627075,40.346836,-95.975914,206.904556,20.775105,-196.300095,206.428955,-20.889292,13.008034,205.441162,-255.716675,-38.640076,207.536240,-62.867355,8.400079,205.547379,-119.166824,54.002792,206.487793,-55.009235,131.402039,206.753372,53.922272,-100.868050,207.833908,505.420258,89.289032,207.647186,16.366310,33.131836,207.483582,-36.204445,203.923843,206.356232,-137.310760,-25.115002,207.812973,273.614990,113.577927,207.761169,85.469780,112.391327,274.263062,62.101257,310.497711,209.138870,374.375763,311.262421,206.701416,17.310135,306.201447,208.726624,197.821854,308.835785,205.886703,-133.425217,-289.058502,202.659363,-291.522797,220.432968,207.608978,75.386871,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.002834,-0.705584,0.001525,-0.708619,-126.252350,3.239516,170.701736,0.040294,-119.071754,3.315728,177.869888,0.906370,-133.562820,2.898888,167.510147,0.928896,-133.321121,3.137727,172.956375,0.883474,-119.053734,3.605721,164.470566,0.878317,-119.051208,3.318789,177.839996,-133.575134,2.903536,167.530685,-133.363983,3.131168,172.940811,-119.018921,3.604352,164.495010,-104.455307,278.171448,97.699463,138.093750,277.223114,92.827606,-79.196121,269.926117,44.634926,-105.790695,206.795090,-332.348663,-127.753677,275.867188,93.524719,-149.132553,205.664642,49.621449,-293.003021,205.574677,-3.759024,-288.808868,206.346725,373.437592,115.457954,276.738129,91.417534,137.302368,280.706573,70.150917,-135.123352,207.905838,163.127426,-109.483910,276.576813,71.055130,-292.820953,204.881912,167.166519,183.296478,207.626556,40.343113,-96.009186,206.815887,20.748270,-196.302902,206.429810,-20.892721,13.008404,205.440109,-255.718521,-38.656147,207.552170,-62.985779,8.402493,205.546829,-119.177330,54.004776,206.488586,-55.008846,131.402542,206.753784,53.921497,-100.863335,207.836243,505.416870,89.287270,207.646591,16.365414,33.131550,207.482117,-36.207329,203.923828,206.355835,-137.310059,-25.114159,207.812744,273.614960,113.575027,207.761169,85.468689,112.392639,274.261963,62.103546,310.499268,209.140823,374.386658,311.260834,206.700394,17.305655,306.214813,208.729248,197.821442,308.839478,205.887299,-133.423523,-289.061066,202.660065,-291.526398,220.433563,207.610062,75.387527,0.155306,208.044220,348.786102,,,,,,,,,,,,,,,,,,,,,
