Format Version,1.22,Take Name,crazyflie_traj18,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,24 Jan 1970 07:08:35 -0500,Total Frames in Take,978,Total Exported Frames,978,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,cf,cf,cf,cf,cf,cf,cf,cf,"cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker4","cf:Marker4","cf:Marker4","cf:Marker4",cf:Marker1,cf:Marker1,cf:Marker1,cf:Marker2,cf:Marker2,cf:Marker2,cf:Marker3,cf:Marker3,cf:Marker3,cf:Marker4,cf:Marker4,cf:Marker4,Unlabeled 3460,Unlabeled 3460,Unlabeled 3460,Unlabeled 3461,Unlabeled 3461,Unlabeled 3461,Unlabeled 3462,Unlabeled 3462,Unlabeled 3462,Unlabeled 3463,Unlabeled 3463,Unlabeled 3463,Unlabeled 3464,Unlabeled 3464,Unlabeled 3464,Unlabeled 3465,Unlabeled 3465,Unlabeled 3465,Unlabeled 3466,Unlabeled 3466,Unlabeled 3466,Unlabeled 3467,Unlabeled 3467,Unlabeled 3467,Unlabeled 3468,Unlabeled 3468,Unlabeled 3468,Unlabeled 3469,Unlabeled 3469,Unlabeled 3469,Unlabeled 3470,Unlabeled 3470,Unlabeled 3470,Unlabeled 3471,Unlabeled 3471,Unlabeled 3471,Unlabeled 3472,Unlabeled 3472,Unlabeled 3472,Unlabeled 3473,Unlabeled 3473,Unlabeled 3473,Unlabeled 3474,Unlabeled 3474,Unlabeled 3474,Unlabeled 3475,Unlabeled 3475,Unlabeled 3475,Unlabeled 3476,Unlabeled 3476,Unlabeled 3476,Unlabeled 3477,Unlabeled 3477,Unlabeled 3477,Unlabeled 3478,Unlabeled 3478,Unlabeled 3478,Unlabeled 3479,Unlabeled 3479,Unlabeled 3479,Unlabeled 3480,Unlabeled 3480,Unlabeled 3480,Unlabeled 3481,Unlabeled 3481,Unlabeled 3481,Unlabeled 3482,Unlabeled 3482,Unlabeled 3482,Unlabeled 3483,Unlabeled 3483,Unlabeled 3483,Unlabeled 3484,Unlabeled 3484,Unlabeled 3484,Unlabeled 3485,Unlabeled 3485,Unlabeled 3485,Unlabeled 3486,Unlabeled 3486,Unlabeled 3486,Unlabeled 3487,Unlabeled 3487,Unlabeled 3487,Unlabeled 3488,Unlabeled 3488,Unlabeled 3488,Unlabeled 3489,Unlabeled 3489,Unlabeled 3489,Unlabeled 3490,Unlabeled 3490,Unlabeled 3490,Unlabeled 3491,Unlabeled 3491,Unlabeled 3491,Unlabeled 3493,Unlabeled 3493,Unlabeled 3493,Unlabeled 3494,Unlabeled 3494,Unlabeled 3494,Unlabeled 3495,Unlabeled 3495,Unlabeled 3495,Unlabeled 3498,Unlabeled 3498,Unlabeled 3498,Unlabeled 3499,Unlabeled 3499,Unlabeled 3499,Unlabeled 3500,Unlabeled 3500,Unlabeled 3500,Unlabeled 3502,Unlabeled 3502,Unlabeled 3502,Unlabeled 3503,Unlabeled 3503,Unlabeled 3503,Unlabeled 3504,Unlabeled 3504,Unlabeled 3504,Unlabeled 3505,Unlabeled 3505,Unlabeled 3505,Unlabeled 3506,Unlabeled 3506,Unlabeled 3506,Unlabeled 3509,Unlabeled 3509,Unlabeled 3509,Unlabeled 3510,Unlabeled 3510,Unlabeled 3510,Unlabeled 3512,Unlabeled 3512,Unlabeled 3512,Unlabeled 3513,Unlabeled 3513,Unlabeled 3513,Unlabeled 3514,Unlabeled 3514,Unlabeled 3514,Unlabeled 3516,Unlabeled 3516,Unlabeled 3516,Unlabeled 3517,Unlabeled 3517,Unlabeled 3517,Unlabeled 3518,Unlabeled 3518,Unlabeled 3518,Unlabeled 3522,Unlabeled 3522,Unlabeled 3522,Unlabeled 3523,Unlabeled 3523,Unlabeled 3523,Unlabeled 3526,Unlabeled 3526,Unlabeled 3526,Unlabeled 3527,Unlabeled 3527,Unlabeled 3527,Unlabeled 3529,Unlabeled 3529,Unlabeled 3529,Unlabeled 3530,Unlabeled 3530,Unlabeled 3530,Unlabeled 3531,Unlabeled 3531,Unlabeled 3531,Unlabeled 3534,Unlabeled 3534,Unlabeled 3534,Unlabeled 3535,Unlabeled 3535,Unlabeled 3535
,,"32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","101D40","101D40","101D40","FEB30","FEB30","FEB30","FEB40","FEB40","FEB40","101C90","101C90","101C90","FE850","FE850","FE850","FE8D0","FE8D0","FE8D0","FEA20","FEA20","FEA20","FEA30","FEA30","FEA30","FEA50","FEA50","FEA50","FEA70","FEA70","FEA70","FEA80","FEA80","FEA80","FEA90","FEA90","FEA90","FEAA0","FEAA0","FEAA0","FEAB0","FEAB0","FEAB0","FEAD0","FEAD0","FEAD0","FEAE0","FEAE0","FEAE0","FEAF0","FEAF0","FEAF0","FEB70","FEB70","FEB70","FEB80","FEB80","FEB80","FEC00","FEC00","FEC00","FEC10","FEC10","FEC10","FEC30","FEC30","FEC30","FEC40","FEC40","FEC40","FEC50","FEC50","FEC50","FEC60","FEC60","FEC60","FED40","FED40","FED40","FED80","FED80","FED80","FF4C0","FF4C0","FF4C0","100340","100340","100340","100E30","100E30","100E30","101140","101140","101140","1011A0","1011A0","1011A0","101DE0","101DE0","101DE0","1022B0","1022B0","1022B0","1022D0","1022D0","1022D0","102330","102330","102330","102370","102370","102370","102380","102380","102380","102390","102390","102390","1023C0","1023C0","1023C0","1023A0","1023A0","1023A0","102200","102200","102200","FE9D0","FE9D0","FE9D0","FE8F0","FE8F0","FE8F0","1023E0","1023E0","1023E0","102430","102430","102430","1023D0","1023D0","1023D0","102460","102460","102460","102480","102480","102480","102470","102470","102470","1024C0","1024C0","1024C0","1024B0","1024B0","1024B0","1024A0","1024A0","1024A0","1024D0","1024D0","1024D0","1024F0","1024F0","1024F0","102540","102540","102540","102550","102550","102550","102580","102580","102580","102560","102560","102560","102570","102570","102570","1023F0","1023F0","1023F0","FE9C0","FE9C0","FE9C0","1025B0","1025B0","1025B0","102620","102620","102620"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.010105,-0.703117,0.001508,-0.711001,-126.286552,3.180547,170.596527,0.101185,-119.156670,3.404393,177.812057,0.736617,-133.570969,2.731686,167.359085,0.649167,-133.369263,3.028759,172.804077,0.781417,-119.049324,3.557352,164.410873,0.820948,-119.084724,3.413194,177.792358,-133.666107,2.740745,167.264069,-133.393112,3.017148,172.851410,-119.015923,3.553344,164.458603,-126.633301,206.153183,104.339996,-100.864319,207.828217,505.414337,-25.114119,207.810394,273.614105,115.457520,276.735718,91.415833,51.670395,207.013580,26.155449,311.268463,206.699585,17.307360,310.506500,209.134415,374.386536,306.122986,208.751205,197.829361,220.437592,207.606323,75.398926,203.927017,206.355362,-137.310379,138.090271,277.221710,92.816071,137.307861,280.705109,70.156410,115.791000,279.211182,98.600433,-79.184601,269.928864,44.628834,-95.750389,276.197632,82.634048,-105.790092,206.797028,-332.342224,-127.758919,275.868835,93.528000,-288.808594,206.350296,373.433929,-292.808594,204.881714,167.155655,-293.039948,205.574158,-3.755304,-294.996277,205.583817,-152.879257,131.424759,206.714005,53.942787,308.843872,205.885483,-133.428329,-95.973907,206.938522,20.500290,-96.807770,281.234802,86.116562,42.947300,207.535431,-59.303455,-135.123901,207.906128,163.127991,107.373177,208.041168,119.830688,183.295410,207.629349,40.344643,-38.638474,207.534882,-62.863518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.009838,-0.703332,-0.000827,-0.710793,-126.288094,3.187378,170.581879,0.089964,-119.154205,3.405793,177.793625,0.762913,-133.573257,2.728941,167.347473,0.669278,-133.368881,3.006686,172.793396,0.805448,-119.056023,3.608092,164.393021,0.862721,-119.083824,3.414754,177.795517,-133.666748,2.739985,167.264297,-133.386642,2.993611,172.827911,-119.029129,3.603835,164.423553,-126.631905,206.152756,104.338203,-100.866302,207.829575,505.414581,-25.115520,207.810211,273.617554,115.453110,276.735474,91.416702,51.672928,207.015320,26.159430,311.273010,206.696747,17.303991,310.615173,209.141418,374.558868,306.117004,208.751923,197.828278,220.436386,207.608154,75.379120,203.925156,206.355972,-137.310913,138.092316,277.221191,92.833565,137.299728,280.704437,70.148750,115.793945,279.208557,98.598396,-79.187027,269.925293,44.632469,-95.748863,276.201477,82.629951,-105.790398,206.794449,-332.343903,-127.759468,275.870605,93.524948,-288.810364,206.350204,373.440887,-292.814789,204.879974,167.160156,-293.016022,205.573624,-3.757650,-294.999603,205.584641,-152.875793,131.399994,206.749512,53.915989,308.842529,205.883957,-133.428177,-95.973824,206.938248,20.501160,-96.803963,281.237732,86.113510,42.946880,207.534363,-59.303238,-135.109467,207.905060,163.154022,107.392242,207.999847,119.811058,183.287750,207.631042,40.373623,-38.654423,207.551453,-62.982964,0.167465,208.042664,348.787201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.010304,-0.702884,0.000992,-0.711230,-126.285324,3.172953,170.590240,0.095613,-119.160309,3.400838,177.810440,0.735545,-133.567200,2.718116,167.347916,0.664912,-133.369293,3.012964,172.793167,0.812797,-119.044510,3.559892,164.409393,0.830614,-119.086411,3.413611,177.790482,-133.666672,2.738818,167.261581,-133.385437,2.992601,172.829941,-119.014511,3.551823,164.460236,-126.632988,206.155685,104.342140,-100.868416,207.830933,505.412018,-25.114178,207.809525,273.618744,115.456223,276.735016,91.415833,51.673866,207.014511,26.168156,311.270569,206.700592,17.306021,310.509766,209.134171,374.390137,306.115875,208.751205,197.828979,220.434448,207.608658,75.384338,203.926010,206.355331,-137.310654,138.092331,277.219116,92.834900,137.306824,280.704102,70.154388,115.792152,279.210205,98.600143,-79.185715,269.926514,44.629871,-95.751205,276.200287,82.627174,-105.790733,206.795746,-332.343140,-127.758492,275.867065,93.528679,-288.810028,206.353073,373.436401,-292.811646,204.881378,167.157837,-293.022125,205.572861,-3.758523,-294.999542,205.583435,-152.878082,131.399734,206.750946,53.921158,308.850525,205.884979,-133.429398,-96.061516,206.981735,20.426512,-96.807671,281.236938,86.116638,42.948849,207.534912,-59.307011,-135.106873,207.904953,163.161087,107.392838,207.998947,119.807243,183.295135,207.626648,40.344585,-38.638252,207.536667,-62.858986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.010809,-0.704557,0.000338,-0.709565,-126.270653,3.165270,170.634491,0.118821,-119.111893,3.403383,177.820923,0.783617,-133.567062,2.699292,167.426605,0.539211,-133.343842,2.993549,172.870926,0.696269,-119.059814,3.564857,164.419525,0.792691,-119.083748,3.414530,177.793732,-133.665527,2.739100,167.263535,-133.351196,2.961866,172.980957,-119.014038,3.554521,164.461243,-126.632965,206.152893,104.341957,-100.862709,207.828278,505.414673,-25.114393,207.811066,273.616852,115.457153,276.735748,91.420227,51.673435,207.013580,26.161766,311.271881,206.695679,17.305866,310.503571,209.135010,374.385010,306.123993,208.752106,197.829834,220.438293,207.607315,75.395111,203.926331,206.355118,-137.310654,138.093231,277.219910,92.826462,137.305450,280.706024,70.153847,115.790894,279.206421,98.602066,-79.188011,269.926208,44.626869,-95.751350,276.197205,82.627365,-105.790352,206.794662,-332.340942,-127.759155,275.869202,93.526031,-288.809540,206.352951,373.436676,-292.798218,204.881165,167.145737,-293.015900,205.578232,-3.757882,-294.997467,205.584335,-152.878754,131.370087,206.754776,53.894745,308.844910,205.884369,-133.427704,-96.060226,206.982086,20.426167,-96.809669,281.236938,86.116829,42.947567,207.535416,-59.299858,-135.108398,207.906052,163.156418,107.374588,208.041977,119.832207,183.295609,207.629425,40.341793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.009752,-0.702382,0.001902,-0.711731,-126.297081,3.190810,170.587128,0.084173,-119.181999,3.407554,177.817474,0.714371,-133.575195,2.749375,167.334564,0.799078,-133.384521,3.046465,172.779953,0.801385,-119.046608,3.559845,164.416550,0.843437,-119.080063,3.416018,177.796936,-133.637634,2.755929,167.339539,-133.445374,3.035126,172.745377,-119.016350,3.557637,164.461319,-126.631615,206.154495,104.341522,-100.865578,207.826996,505.413391,-25.114382,207.810593,273.616730,115.455589,276.733124,91.418831,51.672024,207.015274,26.164865,311.269501,206.697342,17.305891,310.504791,209.132477,374.386749,306.122742,208.752472,197.828903,220.437622,207.606918,75.393272,203.926437,206.355957,-137.310638,138.092728,277.222778,92.822075,137.305481,280.704254,70.152733,115.790535,279.209106,98.598991,-79.178551,269.925964,44.620811,-95.749405,276.200195,82.628891,-105.790543,206.795975,-332.340088,-127.756096,275.868469,93.527313,-288.815735,206.349594,373.438080,-292.816589,204.882782,167.158951,-293.023682,205.575470,-3.756562,-295.001221,205.583237,-152.877136,131.400223,206.749603,53.916271,308.845184,205.884506,-133.428497,-96.062798,206.981918,20.425797,-96.804626,281.236969,86.117958,42.946354,207.535172,-59.303856,-135.107513,207.905441,163.159271,107.391502,207.999374,119.807961,183.296066,207.628342,40.345104,-38.652874,207.550079,-62.973213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.009913,-0.703586,0.001553,-0.710539,-126.280807,3.185405,170.615173,0.075443,-119.141350,3.405353,177.821365,0.792067,-133.569641,2.739695,167.387238,0.771314,-133.360657,3.035605,172.832016,0.844114,-119.051590,3.560969,164.420074,0.838074,-119.082237,3.414958,177.799454,-133.638245,2.752286,167.339539,-133.388870,3.020213,172.856140,-119.015610,3.555697,164.460953,-126.630035,206.152374,104.335854,-100.857780,207.847214,505.396759,-25.115147,207.809952,273.615753,115.454971,276.736176,91.415176,51.673447,207.015045,26.163244,311.263428,206.697327,17.304228,310.502563,209.132462,374.386841,306.117554,208.750366,197.828491,220.437836,207.606384,75.394753,203.925613,206.355362,-137.310699,138.094543,277.220978,92.825554,137.305206,280.706726,70.153687,115.795181,279.208862,98.603783,-79.183243,269.925262,44.628300,-95.750412,276.200043,82.630363,-105.790161,206.794998,-332.344238,-127.759506,275.869110,93.529045,-288.813416,206.349762,373.437134,-292.812042,204.880707,167.157562,-293.023499,205.575089,-3.758189,-295.000885,205.581161,-152.881943,131.401093,206.748505,53.920025,308.837616,205.881317,-133.428604,-95.973999,206.938309,20.499361,-96.804527,281.237305,86.118233,42.947258,207.534378,-59.304585,-135.124252,207.906097,163.125900,107.394409,207.999878,119.804192,183.296616,207.627182,40.343689,,,,0.156945,208.044678,348.785248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
