Format Version,1.22,Take Name,crazyflie_traj19,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,24 Jan 1970 07:11:00 -0500,Total Frames in Take,966,Total Exported Frames,966,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,cf,cf,cf,cf,cf,cf,cf,cf,"cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker4","cf:Marker4","cf:Marker4","cf:Marker4",cf:Marker1,cf:Marker1,cf:Marker1,cf:Marker2,cf:Marker2,cf:Marker2,cf:Marker3,cf:Marker3,cf:Marker3,cf:Marker4,cf:Marker4,cf:Marker4,Unlabeled 3540,Unlabeled 3540,Unlabeled 3540,Unlabeled 3541,Unlabeled 3541,Unlabeled 3541,Unlabeled 3542,Unlabeled 3542,Unlabeled 3542,Unlabeled 3543,Unlabeled 3543,Unlabeled 3543,Unlabeled 3544,Unlabeled 3544,Unlabeled 3544,Unlabeled 3545,Unlabeled 3545,Unlabeled 3545,Unlabeled 3546,Unlabeled 3546,Unlabeled 3546,Unlabeled 3547,Unlabeled 3547,Unlabeled 3547,Unlabeled 3548,Unlabeled 3548,Unlabeled 3548,Unlabeled 3549,Unlabeled 3549,Unlabeled 3549,Unlabeled 3550,Unlabeled 3550,Unlabeled 3550,Unlabeled 3551,Unlabeled 3551,Unlabeled 3551,Unlabeled 3552,Unlabeled 3552,Unlabeled 3552,Unlabeled 3553,Unlabeled 3553,Unlabeled 3553,Unlabeled 3554,Unlabeled 3554,Unlabeled 3554,Unlabeled 3555,Unlabeled 3555,Unlabeled 3555,Unlabeled 3556,Unlabeled 3556,Unlabeled 3556,Unlabeled 3557,Unlabeled 3557,Unlabeled 3557,Unlabeled 3558,Unlabeled 3558,Unlabeled 3558,Unlabeled 3559,Unlabeled 3559,Unlabeled 3559,Unlabeled 3560,Unlabeled 3560,Unlabeled 3560,Unlabeled 3561,Unlabeled 3561,Unlabeled 3561,Unlabeled 3562,Unlabeled 3562,Unlabeled 3562,Unlabeled 3563,Unlabeled 3563,Unlabeled 3563,Unlabeled 3564,Unlabeled 3564,Unlabeled 3564,Unlabeled 3565,Unlabeled 3565,Unlabeled 3565,Unlabeled 3566,Unlabeled 3566,Unlabeled 3566,Unlabeled 3567,Unlabeled 3567,Unlabeled 3567,Unlabeled 3568,Unlabeled 3568,Unlabeled 3568,Unlabeled 3569,Unlabeled 3569,Unlabeled 3569,Unlabeled 3570,Unlabeled 3570,Unlabeled 3570,Unlabeled 3571,Unlabeled 3571,Unlabeled 3571,Unlabeled 3572,Unlabeled 3572,Unlabeled 3572,Unlabeled 3573,Unlabeled 3573,Unlabeled 3573,Unlabeled 3576,Unlabeled 3576,Unlabeled 3576,Unlabeled 3577,Unlabeled 3577,Unlabeled 3577,Unlabeled 3578,Unlabeled 3578,Unlabeled 3578,Unlabeled 3579,Unlabeled 3579,Unlabeled 3579,Unlabeled 3580,Unlabeled 3580,Unlabeled 3580,Unlabeled 3581,Unlabeled 3581,Unlabeled 3581,Unlabeled 3582,Unlabeled 3582,Unlabeled 3582,Unlabeled 3583,Unlabeled 3583,Unlabeled 3583,Unlabeled 3584,Unlabeled 3584,Unlabeled 3584,Unlabeled 3587,Unlabeled 3587,Unlabeled 3587,Unlabeled 3588,Unlabeled 3588,Unlabeled 3588,Unlabeled 3589,Unlabeled 3589,Unlabeled 3589,Unlabeled 3590,Unlabeled 3590,Unlabeled 3590,Unlabeled 3591,Unlabeled 3591,Unlabeled 3591,Unlabeled 3592,Unlabeled 3592,Unlabeled 3592,Unlabeled 3593,Unlabeled 3593,Unlabeled 3593,Unlabeled 3594,Unlabeled 3594,Unlabeled 3594,Unlabeled 3595,Unlabeled 3595,Unlabeled 3595,Unlabeled 3596,Unlabeled 3596,Unlabeled 3596,Unlabeled 3597,Unlabeled 3597,Unlabeled 3597,Unlabeled 3598,Unlabeled 3598,Unlabeled 3598,Unlabeled 3599,Unlabeled 3599,Unlabeled 3599,Unlabeled 3600,Unlabeled 3600,Unlabeled 3600,Unlabeled 3601,Unlabeled 3601,Unlabeled 3601,Unlabeled 3602,Unlabeled 3602,Unlabeled 3602,Unlabeled 3603,Unlabeled 3603,Unlabeled 3603,Unlabeled 3604,Unlabeled 3604,Unlabeled 3604,Unlabeled 3605,Unlabeled 3605,Unlabeled 3605,Unlabeled 3607,Unlabeled 3607,Unlabeled 3607,Unlabeled 3608,Unlabeled 3608,Unlabeled 3608,Unlabeled 3609,Unlabeled 3609,Unlabeled 3609,Unlabeled 3610,Unlabeled 3610,Unlabeled 3610,Unlabeled 3612,Unlabeled 3612,Unlabeled 3612,Unlabeled 3613,Unlabeled 3613,Unlabeled 3613,Unlabeled 3614,Unlabeled 3614,Unlabeled 3614,Unlabeled 3615,Unlabeled 3615,Unlabeled 3615,Unlabeled 3616,Unlabeled 3616,Unlabeled 3616,Unlabeled 3618,Unlabeled 3618,Unlabeled 3618,Unlabeled 3619,Unlabeled 3619,Unlabeled 3619,Unlabeled 3620,Unlabeled 3620,Unlabeled 3620,Unlabeled 3622,Unlabeled 3622,Unlabeled 3622,Unlabeled 3623,Unlabeled 3623,Unlabeled 3623,Unlabeled 3624,Unlabeled 3624,Unlabeled 3624,Unlabeled 3625,Unlabeled 3625,Unlabeled 3625,Unlabeled 3627,Unlabeled 3627,Unlabeled 3627,Unlabeled 3628,Unlabeled 3628,Unlabeled 3628,Unlabeled 3630,Unlabeled 3630,Unlabeled 3630,Unlabeled 3631,Unlabeled 3631,Unlabeled 3631,Unlabeled 3633,Unlabeled 3633,Unlabeled 3633,Unlabeled 3637,Unlabeled 3637,Unlabeled 3637,Unlabeled 3638,Unlabeled 3638,Unlabeled 3638,Unlabeled 3640,Unlabeled 3640,Unlabeled 3640,Unlabeled 3641,Unlabeled 3641,Unlabeled 3641,Unlabeled 3642,Unlabeled 3642,Unlabeled 3642,Unlabeled 3643,Unlabeled 3643,Unlabeled 3643
,,"32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","104F60","104F60","104F60","104E80","104E80","104E80","104CB0","104CB0","104CB0","104670","104670","104670","FE850","FE850","FE850","FE8D0","FE8D0","FE8D0","FEA20","FEA20","FEA20","FEA30","FEA30","FEA30","FEA50","FEA50","FEA50","FEA70","FEA70","FEA70","FEA80","FEA80","FEA80","FEA90","FEA90","FEA90","FEAB0","FEAB0","FEAB0","FEAD0","FEAD0","FEAD0","FEAE0","FEAE0","FEAE0","FEAF0","FEAF0","FEAF0","FEB70","FEB70","FEB70","FEB80","FEB80","FEB80","FEC00","FEC00","FEC00","FEC10","FEC10","FEC10","FEC30","FEC30","FEC30","FEC40","FEC40","FEC40","FEC50","FEC50","FEC50","FEC60","FEC60","FEC60","FED40","FED40","FED40","FF4C0","FF4C0","FF4C0","100340","100340","100340","101DE0","101DE0","101DE0","1030D0","1030D0","1030D0","1031E0","1031E0","1031E0","103BF0","103BF0","103BF0","103DD0","103DD0","103DD0","103E90","103E90","103E90","104920","104920","104920","105A60","105A60","105A60","105AF0","105AF0","105AF0","105B00","105B00","105B00","105A80","105A80","105A80","105B30","105B30","105B30","105B10","105B10","105B10","105B20","105B20","105B20","105B50","105B50","105B50","105B40","105B40","105B40","102600","102600","102600","105B80","105B80","105B80","105B70","105B70","105B70","105B60","105B60","105B60","105BC0","105BC0","105BC0","105BE0","105BE0","105BE0","105BD0","105BD0","105BD0","105C00","105C00","105C00","105BF0","105BF0","105BF0","105C20","105C20","105C20","105C10","105C10","105C10","105BA0","105BA0","105BA0","105C30","105C30","105C30","105C60","105C60","105C60","105C50","105C50","105C50","105C40","105C40","105C40","105C80","105C80","105C80","105CA0","105CA0","105CA0","105CD0","105CD0","105CD0","105C90","105C90","105C90","105CB0","105CB0","105CB0","105CC0","105CC0","105CC0","105CF0","105CF0","105CF0","105D30","105D30","105D30","105D40","105D40","105D40","105D20","105D20","105D20","105CE0","105CE0","105CE0","105D00","105D00","105D00","105D70","105D70","105D70","105D80","105D80","105D80","105D90","105D90","105D90","105D50","105D50","105D50","105DA0","105DA0","105DA0","105DC0","105DC0","105DC0","105DD0","105DD0","105DD0","105DF0","105DF0","105DF0","105E20","105E20","105E20","105E00","105E00","105E00","105E10","105E10","105E10","105E40","105E40","105E40","105E30","105E30","105E30","105E50","105E50","105E50","105E90","105E90","105E90","105E80","105E80","105E80","105F00","105F00","105F00","105F10","105F10","105F10","105EE0","105EE0","105EE0","105ED0","105ED0","105ED0","105F40","105F40","105F40","105F30","105F30","105F30"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.008699,0.693872,0.000382,0.720046,-126.308731,3.157295,170.639435,0.123459,-119.367790,3.352484,178.037720,0.632613,-133.506653,2.717768,167.212784,0.664874,-133.445923,2.988746,172.662537,0.718124,-118.914536,3.570181,164.644669,0.749803,-119.236969,3.380193,178.016815,-133.632401,2.763112,167.232819,-133.448685,2.940798,172.573257,-118.910805,3.552518,164.730072,-126.632416,206.155533,104.341362,-100.865921,207.832291,505.418030,-25.114164,207.809967,273.616760,115.457382,276.737915,91.412407,51.671833,207.015091,26.161623,311.275543,206.698395,17.305910,310.511414,209.136993,374.391907,306.121246,208.749893,197.829971,203.926041,206.356400,-137.310867,138.096008,277.221039,92.831802,137.301483,280.708344,70.152252,115.794548,279.210419,98.599007,-79.182266,269.926605,44.628845,-95.752853,276.202911,82.626083,-105.790291,206.795624,-332.346039,-127.757942,275.871552,93.527580,-288.815979,206.351547,373.440277,-292.800659,204.883545,167.148010,-292.996490,205.577209,-3.758943,-294.848938,205.427094,-152.838928,131.401260,206.751633,53.919983,-96.062592,206.981476,20.426226,-96.807327,281.237640,86.115906,183.294815,207.629486,40.346317,308.834747,205.886078,-133.428329,-196.292908,206.441498,-20.940971,42.948257,207.538727,-59.298290,-135.109283,207.905884,163.154510,107.372856,208.043762,119.833412,220.438568,207.607559,75.394234,-38.639771,207.536453,-62.871574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.008546,0.695456,0.001987,0.718515,-126.318489,3.172137,170.611206,0.098109,-119.345222,3.363879,177.979111,0.722432,-133.530624,2.725934,167.215424,0.692300,-133.446289,2.983876,172.665497,0.735407,-118.951820,3.614860,164.584763,0.868769,-119.237015,3.383450,178.010864,-133.632095,2.764500,167.231522,-133.449600,2.942641,172.576065,-118.958199,3.602817,164.621201,-126.631401,206.155807,104.338089,-100.866058,207.828827,505.418396,-25.114685,207.811447,273.617889,115.460121,276.736023,91.419655,51.671665,207.015869,26.149511,311.267700,206.697220,17.305105,310.504883,209.137543,374.387604,306.120911,208.751587,197.826843,203.926270,206.355865,-137.310471,138.093567,277.222595,92.821167,137.308319,280.704376,70.154190,115.792419,279.212006,98.602356,-79.184166,269.927795,44.624184,-95.750771,276.200439,82.628616,-105.790565,206.795212,-332.345184,-127.755760,275.869049,93.533257,-288.808014,206.351974,373.435486,-292.808411,204.881638,167.156387,-293.005737,205.577332,-3.758138,-294.845734,205.422470,-152.837677,131.400146,206.751465,53.918678,-96.063446,206.980759,20.425056,-96.807014,281.238739,86.116669,183.288925,207.632187,40.369480,308.841461,205.884140,-133.431168,-196.292191,206.441849,-20.940315,42.947323,207.534546,-59.301853,-135.125275,207.905762,163.125519,107.392952,208.001495,119.807861,220.434402,207.610077,75.383362,-38.657154,207.552155,-62.984394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.008277,0.695165,0.002468,0.718798,-126.323616,3.174739,170.620880,0.108350,-119.356331,3.360909,177.994583,0.685193,-133.532883,2.729817,167.218857,0.702783,-133.453003,2.982004,172.669250,0.702311,-118.952263,3.626228,164.600830,0.826210,-119.235336,3.382458,178.013428,-133.632431,2.764635,167.228836,-133.448273,2.941203,172.570831,-118.971893,3.613444,164.660507,-126.632690,206.156372,104.339828,-100.867996,207.832794,505.422211,-25.114473,207.811905,273.616211,115.456581,276.735931,91.415024,51.671715,207.014709,26.163292,311.267670,206.693787,17.305405,310.506012,209.137344,374.388245,306.123993,208.753113,197.830643,203.925079,206.356384,-137.310349,138.096603,277.220612,92.842339,137.301712,280.707489,70.148720,115.793503,279.210114,98.599640,-79.187050,269.930878,44.627571,-95.754288,276.201019,82.628281,-105.790604,206.795929,-332.347351,-127.754227,275.869751,93.532082,-288.816071,206.350372,373.441559,-292.816956,204.882050,167.164749,-293.022980,205.576233,-3.758040,-294.849701,205.424957,-152.839157,131.402710,206.749847,53.920685,-96.062408,206.982330,20.421696,-96.807693,281.237579,86.118622,183.295532,207.630020,40.346382,308.837555,205.883865,-133.426971,-196.295349,206.441681,-20.944118,42.946236,207.536728,-59.302162,-135.124329,207.906509,163.124939,107.393524,207.999756,119.806862,220.434479,207.609467,75.384377,-38.651405,207.552551,-62.972214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.008171,0.695240,0.002497,0.718727,-126.323631,3.175119,170.621979,0.106239,-119.354782,3.359129,177.994278,0.681901,-133.533646,2.731621,167.221375,0.709304,-133.452606,2.982754,172.671814,0.716417,-118.953476,3.626972,164.600479,0.829984,-119.231972,3.379864,178.012222,-133.633118,2.763338,167.227097,-133.449203,2.945686,172.580475,-118.972328,3.614831,164.659805,-126.632179,206.155396,104.339470,-100.867012,207.830887,505.414337,-25.114590,207.811157,273.615906,115.455162,276.735229,91.413284,51.671791,207.015991,26.163673,311.266418,206.698868,17.305840,310.512390,209.138275,374.396484,306.123840,208.751251,197.830124,203.926270,206.355453,-137.310165,138.094330,277.222717,92.826080,137.298828,280.706726,70.144508,115.792595,279.209717,98.601257,-79.188797,269.928406,44.632530,-95.752907,276.201538,82.630074,-105.790535,206.794830,-332.343567,-127.760292,275.871094,93.527992,-288.813354,206.352875,373.437775,-292.808624,204.880524,167.158203,-293.009583,205.577881,-3.759247,-294.842896,205.423691,-152.841797,131.401505,206.751297,53.917385,-96.062508,206.982971,20.423233,-96.811287,281.237732,86.119270,183.286011,207.630966,40.377419,308.834564,205.886337,-133.428116,-196.290588,206.441544,-20.937252,42.946804,207.536346,-59.302647,-135.123306,207.906158,163.129517,107.389641,208.000320,119.817642,220.437241,207.607773,75.393990,-38.653458,207.550400,-62.975048,0.159603,208.049728,348.781494,-17.594238,206.118134,-144.384079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.008730,0.693861,0.000360,0.720056,-126.308952,3.158478,170.639832,0.121121,-119.368256,3.354308,178.038330,0.632834,-133.506775,2.718609,167.212997,0.672140,-133.446213,2.990001,172.662735,0.731261,-118.914566,3.570995,164.645279,0.752559,-119.237350,3.381296,178.017075,-133.631912,2.761172,167.228699,-133.448685,2.945071,172.579224,-118.910194,3.553675,164.730545,-126.632034,206.153564,104.340233,-100.865685,207.829803,505.418671,-25.113747,207.811600,273.617920,115.458061,276.737610,91.420242,51.669945,207.014328,26.151514,311.267700,206.696671,17.306116,310.512146,209.138397,374.396088,306.114563,208.752487,197.828979,203.926666,206.356186,-137.310608,138.095657,277.223846,92.833900,137.301239,280.708527,70.149597,115.792778,279.210571,98.598541,-79.174767,269.926056,44.616341,-95.749893,276.201233,82.631905,-105.790375,206.796265,-332.348083,-127.754715,275.869507,93.529579,-288.814301,206.351013,373.437439,-292.808289,204.882507,167.155792,-293.021942,205.576538,-3.758106,-294.851349,205.422211,-152.839035,131.402161,206.750244,53.923553,-96.062096,206.981110,20.424568,-96.807106,281.239136,86.116615,183.296814,207.628799,40.344166,308.834229,205.884598,-133.427246,-196.292007,206.441498,-20.941210,42.946735,207.534882,-59.298302,-135.124207,207.907074,163.129425,107.373108,208.042114,119.834244,220.437531,207.607452,75.396309,-38.635681,207.536728,-62.845921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.008465,0.695473,0.001896,0.718500,-126.318344,3.171388,170.611481,0.097348,-119.344696,3.361514,177.979065,0.722537,-133.530746,2.726900,167.216034,0.693065,-133.446091,2.984879,172.666107,0.741538,-118.951843,3.612259,164.584702,0.869385,-119.236267,3.380357,178.011673,-133.633713,2.763404,167.229599,-133.447968,2.946052,172.579285,-118.958519,3.600876,164.620285,-126.629723,206.153915,104.335464,-100.858391,207.847214,505.405334,-25.113224,207.811310,273.616394,115.456650,276.735901,91.417221,51.672470,207.016403,26.158978,311.266876,206.698822,17.306137,310.505859,209.133667,374.389038,306.117401,208.750702,197.827835,203.926117,206.355881,-137.310745,138.092209,277.224396,92.818741,137.307251,280.704926,70.153389,115.795326,279.209534,98.602486,-79.186440,269.930817,44.628014,-95.752586,276.201263,82.624519,-105.790268,206.795746,-332.345123,-127.760948,275.870850,93.527397,-288.809357,206.352585,373.434845,-292.807617,204.880936,167.154999,-293.024963,205.575806,-3.758243,-294.852875,205.423737,-152.837082,131.401001,206.751663,53.924324,-96.062523,206.982300,20.421768,-96.807304,281.238525,86.115875,183.285019,207.631302,40.376774,308.842529,205.886200,-133.428391,-196.292740,206.441498,-20.940447,42.946472,207.534531,-59.299213,-135.122757,207.906677,163.132767,107.389954,208.001038,119.813873,220.436737,207.607056,75.396172,-38.639568,207.536530,-62.871288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
