Format Version,1.22,Take Name,crazyflie_traj4,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,24 Jan 1970 06:39:19 -0500,Total Frames in Take,1510,Total Exported Frames,1510,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,cf,cf,cf,cf,cf,cf,cf,cf,"cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker4","cf:Marker4","cf:Marker4","cf:Marker4",cf:Marker1,cf:Marker1,cf:Marker1,cf:Marker2,cf:Marker2,cf:Marker2,cf:Marker3,cf:Marker3,cf:Marker3,cf:Marker4,cf:Marker4,cf:Marker4,Unlabeled 1485,Unlabeled 1485,Unlabeled 1485,Unlabeled 1486,Unlabeled 1486,Unlabeled 1486,Unlabeled 1487,Unlabeled 1487,Unlabeled 1487,Unlabeled 1488,Unlabeled 1488,Unlabeled 1488,Unlabeled 1489,Unlabeled 1489,Unlabeled 1489,Unlabeled 1490,Unlabeled 1490,Unlabeled 1490,Unlabeled 1491,Unlabeled 1491,Unlabeled 1491,Unlabeled 1492,Unlabeled 1492,Unlabeled 1492,Unlabeled 1493,Unlabeled 1493,Unlabeled 1493,Unlabeled 1494,Unlabeled 1494,Unlabeled 1494,Unlabeled 1495,Unlabeled 1495,Unlabeled 1495,Unlabeled 1496,Unlabeled 1496,Unlabeled 1496,Unlabeled 1497,Unlabeled 1497,Unlabeled 1497,Unlabeled 1498,Unlabeled 1498,Unlabeled 1498,Unlabeled 1499,Unlabeled 1499,Unlabeled 1499,Unlabeled 1500,Unlabeled 1500,Unlabeled 1500,Unlabeled 1501,Unlabeled 1501,Unlabeled 1501,Unlabeled 1502,Unlabeled 1502,Unlabeled 1502,Unlabeled 1503,Unlabeled 1503,Unlabeled 1503,Unlabeled 1504,Unlabeled 1504,Unlabeled 1504,Unlabeled 1505,Unlabeled 1505,Unlabeled 1505,Unlabeled 1506,Unlabeled 1506,Unlabeled 1506,Unlabeled 1507,Unlabeled 1507,Unlabeled 1507,Unlabeled 1508,Unlabeled 1508,Unlabeled 1508,Unlabeled 1509,Unlabeled 1509,Unlabeled 1509,Unlabeled 1510,Unlabeled 1510,Unlabeled 1510,Unlabeled 1511,Unlabeled 1511,Unlabeled 1511,Unlabeled 1512,Unlabeled 1512,Unlabeled 1512,Unlabeled 1513,Unlabeled 1513,Unlabeled 1513,Unlabeled 1514,Unlabeled 1514,Unlabeled 1514,Unlabeled 1515,Unlabeled 1515,Unlabeled 1515,Unlabeled 1516,Unlabeled 1516,Unlabeled 1516,Unlabeled 1521,Unlabeled 1521,Unlabeled 1521,Unlabeled 1523,Unlabeled 1523,Unlabeled 1523,Unlabeled 1527,Unlabeled 1527,Unlabeled 1527,Unlabeled 1528,Unlabeled 1528,Unlabeled 1528,Unlabeled 1530,Unlabeled 1530,Unlabeled 1530,Unlabeled 1532,Unlabeled 1532,Unlabeled 1532,Unlabeled 1535,Unlabeled 1535,Unlabeled 1535,Unlabeled 1536,Unlabeled 1536,Unlabeled 1536,Unlabeled 1538,Unlabeled 1538,Unlabeled 1538,Unlabeled 1540,Unlabeled 1540,Unlabeled 1540,Unlabeled 1541,Unlabeled 1541,Unlabeled 1541,Unlabeled 1542,Unlabeled 1542,Unlabeled 1542,Unlabeled 1544,Unlabeled 1544,Unlabeled 1544,Unlabeled 1545,Unlabeled 1545,Unlabeled 1545,Unlabeled 1546,Unlabeled 1546,Unlabeled 1546,Unlabeled 1547,Unlabeled 1547,Unlabeled 1547,Unlabeled 1548,Unlabeled 1548,Unlabeled 1548,Unlabeled 1550,Unlabeled 1550,Unlabeled 1550,Unlabeled 1551,Unlabeled 1551,Unlabeled 1551,Unlabeled 1553,Unlabeled 1553,Unlabeled 1553,Unlabeled 1554,Unlabeled 1554,Unlabeled 1554,Unlabeled 1555,Unlabeled 1555,Unlabeled 1555,Unlabeled 1556,Unlabeled 1556,Unlabeled 1556
,,"881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","881BFE9A71C411F0DFF24AA584E86A9E","ED420","ED420","ED420","ED3C0","ED3C0","ED3C0","ED170","ED170","ED170","ED140","ED140","ED140","D5090","D5090","D5090","D50F0","D50F0","D50F0","D5100","D5100","D5100","D5140","D5140","D5140","D51E0","D51E0","D51E0","D51F0","D51F0","D51F0","D5210","D5210","D5210","D5220","D5220","D5220","D5250","D5250","D5250","D5290","D5290","D5290","D52B0","D52B0","D52B0","D52D0","D52D0","D52D0","D52E0","D52E0","D52E0","D52F0","D52F0","D52F0","D5300","D5300","D5300","DD0D0","DD0D0","DD0D0","DFE90","DFE90","DFE90","E01D0","E01D0","E01D0","E0200","E0200","E0200","E42E0","E42E0","E42E0","E4470","E4470","E4470","E6C10","E6C10","E6C10","E7050","E7050","E7050","E8FD0","E8FD0","E8FD0","E90A0","E90A0","E90A0","E90B0","E90B0","E90B0","EB460","EB460","EB460","EB530","EB530","EB530","EB5A0","EB5A0","EB5A0","EB5D0","EB5D0","EB5D0","EB6B0","EB6B0","EB6B0","EC0B0","EC0B0","EC0B0","ED670","ED670","ED670","ED690","ED690","ED690","ED330","ED330","ED330","EB6D0","EB6D0","EB6D0","ED5C0","ED5C0","ED5C0","ED6E0","ED6E0","ED6E0","ED730","ED730","ED730","ED6D0","ED6D0","ED6D0","ED750","ED750","ED750","ED780","ED780","ED780","ED790","ED790","ED790","ED6F0","ED6F0","ED6F0","ED710","ED710","ED710","ED7A0","ED7A0","ED7A0","ED7E0","ED7E0","ED7E0","ED7B0","ED7B0","ED7B0","ED7D0","ED7D0","ED7D0","ED7F0","ED7F0","ED7F0","ED820","ED820","ED820","EB6F0","EB6F0","EB6F0","ED830","ED830","ED830","ED7C0","ED7C0","ED7C0","ED840","ED840","ED840"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.010889,0.728638,0.005140,0.684794,-126.561485,3.040136,171.863266,0.115926,-129.446487,3.233986,179.144104,0.696548,-119.015182,3.381181,177.539551,0.732039,-133.666199,2.747023,167.441299,0.627645,-124.118088,2.798352,163.328140,0.784509,-129.531464,3.231047,179.051743,-118.927040,3.382807,177.574844,-133.726639,2.747881,167.564514,-124.076500,2.798758,163.278580,-75.767067,205.414749,58.662064,-104.459000,278.173340,97.698235,-295.547394,205.531433,-153.036957,138.083221,277.211456,92.830368,-79.207054,269.926300,44.638752,-105.804420,206.795364,-332.371582,-127.748802,275.863159,93.526009,-149.127731,205.670670,49.625191,-293.351837,205.560471,-3.772867,42.941109,207.524399,-59.317337,-288.578033,206.379272,373.354767,112.385071,274.253967,62.107109,115.451668,276.736725,91.424431,137.321335,280.695892,70.166588,-135.104950,207.900330,163.168335,40.373249,205.241272,-122.231255,107.375694,207.999374,119.827652,51.136269,207.309052,49.095932,-96.898315,207.290344,111.933945,-59.709370,206.671875,179.073151,29.530668,207.194946,104.935074,141.398727,207.119629,127.706978,203.803665,206.193878,-136.919205,310.441467,209.132797,374.334656,-187.202423,205.482178,140.763672,263.917816,207.093140,-26.628525,-72.616615,207.828644,55.754971,-294.497070,201.893860,-295.059204,183.290482,207.615311,40.376995,-0.667685,205.851273,-67.038422,102.568375,204.804611,-320.308716,-109.478470,276.570343,71.060371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.009710,0.728597,0.004880,0.684857,-126.556190,3.055936,171.865952,0.106505,-129.441803,3.246759,179.146606,0.689711,-119.010010,3.374294,177.543701,0.764355,-133.660858,2.783041,167.442627,0.666953,-124.112091,2.819649,163.330872,0.813927,-129.531937,3.231794,179.053101,-118.929970,3.383177,177.571213,-133.704773,2.796586,167.555466,-124.074936,2.812925,163.291794,-75.771622,205.415466,58.661533,-104.456070,278.171082,97.701515,-295.549713,205.530579,-153.039520,138.082611,277.212250,92.828461,-79.215111,269.927643,44.645355,-105.791473,206.792160,-332.355438,-127.746407,275.860229,93.529129,-149.127609,205.669647,49.626640,-293.353851,205.558777,-3.776205,42.941223,207.521790,-59.317696,-288.577759,206.380554,373.355072,112.380898,274.255188,62.106979,115.451111,276.734161,91.422585,137.325836,280.695221,70.171318,-135.106155,207.900955,163.163574,40.371902,205.240555,-122.232262,107.374428,207.999542,119.831467,51.135033,207.309860,49.094097,-96.827446,207.228516,112.027481,-59.702396,206.673721,179.071686,29.530037,207.195709,104.933716,141.395325,207.118469,127.670052,203.800293,206.194855,-136.918182,310.441071,209.131195,374.335419,-187.220459,205.488419,140.665695,263.918457,207.092545,-26.628834,,,,,,,183.290741,207.612427,40.375385,-0.669208,205.892639,-67.038597,102.568558,204.805374,-320.305908,-109.473801,276.571289,71.068573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.010876,0.728625,0.005288,0.684807,-126.561424,3.042210,171.863892,0.116384,-129.446701,3.233831,179.144669,0.698107,-119.015373,3.383321,177.540497,0.729678,-133.665924,2.748820,167.441620,0.626016,-124.117699,2.802867,163.328781,0.782364,-129.531448,3.234164,179.054413,-118.926071,3.382745,177.574631,-133.729340,2.745791,167.563309,-124.074707,2.805469,163.280045,-75.764641,205.415253,58.662777,-104.455269,278.170288,97.697617,-295.546875,205.530899,-153.040451,138.083481,277.212036,92.821030,-79.212151,269.927612,44.643341,-105.791328,206.791016,-332.357788,-127.747276,275.865051,93.530670,-149.128525,205.670807,49.627605,-293.350311,205.558807,-3.772712,42.939350,207.523300,-59.312336,-288.581970,206.381775,373.356995,112.386681,274.258850,62.110771,115.450760,276.735077,91.422501,137.318115,280.696930,70.163475,-135.103653,207.900589,163.170242,40.372952,205.241135,-122.231331,107.373741,208.000534,119.829132,51.134537,207.308929,49.095257,-96.827713,207.255249,112.032364,-59.705280,206.672195,179.073090,29.531523,207.197693,104.934349,141.395355,207.118744,127.670219,203.804825,206.195328,-136.919739,310.448792,209.127380,374.339447,-187.202194,205.481964,140.762054,263.919159,207.091522,-26.631445,,,,,,,183.287903,207.614944,40.383060,-0.666310,205.851074,-67.040009,102.568123,204.802414,-320.305573,-109.475517,276.571930,71.068863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.010615,0.728583,0.005510,0.684853,-126.561035,3.044375,171.864273,0.113528,-129.447144,3.231246,179.144852,0.699978,-119.015625,3.381027,177.541977,0.745970,-133.665054,2.754553,167.440979,0.629661,-124.116341,2.810672,163.329285,0.789108,-129.530090,3.231042,179.052979,-118.929863,3.380696,177.571823,-133.730042,2.752112,167.561371,-124.071945,2.813129,163.286514,-75.765167,205.415527,58.666050,-104.469612,278.166504,97.719788,-295.538269,205.534500,-153.037292,138.084457,277.213745,92.831894,-79.221901,269.930664,44.646717,-105.791115,206.792068,-332.359497,-127.748680,275.862823,93.526993,-149.127060,205.670517,49.627720,-293.352295,205.558487,-3.774619,42.939510,207.522873,-59.313141,-288.583832,206.379120,373.359528,112.378860,274.252594,62.107075,115.452263,276.736969,91.421661,137.324219,280.695068,70.170540,-135.105652,207.900482,163.165955,40.369720,205.241440,-122.231606,107.375549,207.999710,119.829987,51.135605,207.308060,49.096478,-96.828697,207.255005,112.030319,-59.701942,206.673462,179.073090,29.531530,207.196075,104.932251,141.395111,207.117706,127.669693,203.800156,206.195282,-136.916031,310.440033,209.129913,374.334625,-187.197556,205.488449,140.762405,263.912964,207.093460,-26.635330,,,,,,,183.297333,207.614349,40.355488,-0.666427,205.893250,-67.039528,102.569031,204.804871,-320.303406,-109.481522,276.570923,71.063705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.010705,0.728694,0.005085,0.684737,-126.563049,3.042216,171.864868,0.112827,-129.446808,3.235814,179.146194,0.699668,-119.015717,3.379694,177.539993,0.743532,-133.668564,2.752304,167.443985,0.635809,-124.121094,2.801050,163.329285,0.792716,-129.531342,3.232500,179.055099,-118.929688,3.381436,177.570892,-133.729126,2.753586,167.563217,-124.078621,2.801291,163.285065,-75.770477,205.417221,58.665211,-104.456589,278.172363,97.696510,-295.545624,205.535477,-153.038925,138.084030,277.212463,92.829941,-79.218277,269.927002,44.643414,-105.791176,206.791931,-332.356476,-127.751251,275.864410,93.523384,-149.129333,205.670120,49.629536,-293.350128,205.560944,-3.774858,42.942722,207.524109,-59.315086,-288.579559,206.380219,373.356140,112.382492,274.255005,62.109875,115.449524,276.734741,91.422134,137.318008,280.698334,70.162819,-135.120468,207.900543,163.136673,40.370922,205.242157,-122.231499,107.374664,207.998413,119.829605,51.137249,207.310135,49.096794,-96.900642,207.265640,111.931061,-59.703625,206.673569,179.071838,29.530975,207.196671,104.935310,141.393066,207.117050,127.671906,203.800583,206.195587,-136.917801,310.445374,209.132248,374.341644,-187.218643,205.486053,140.663589,263.918854,207.092499,-26.629465,-72.615585,207.829575,55.749107,-294.501434,201.896667,-295.062744,183.289291,207.613785,40.380516,-0.666862,205.851624,-67.038712,102.568459,204.803879,-320.305603,-109.474754,276.572235,71.066574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.010775,0.728614,0.005402,0.684818,-126.560440,3.043926,171.866913,0.114079,-129.445908,3.233299,179.147675,0.692539,-119.014549,3.383370,177.543823,0.742985,-133.664825,2.751824,167.444366,0.632290,-124.116470,2.807209,163.331787,0.791397,-129.530746,3.232255,179.053787,-118.926643,3.383579,177.573227,-133.728836,2.750201,167.561035,-124.073578,2.809247,163.293152,-75.766624,205.416229,58.662712,-104.460022,278.169891,97.700348,-295.547760,205.533478,-153.039459,138.084991,277.210480,92.840149,-79.217041,269.930115,44.641663,-105.791679,206.789978,-332.357361,-127.746033,275.859589,93.527771,-149.126434,205.670303,49.628536,-293.350647,205.558807,-3.776717,42.939884,207.521744,-59.316437,-288.582275,206.378906,373.359406,112.385628,274.259338,62.108074,115.453384,276.736176,91.418159,137.321838,280.695740,70.165047,-135.103195,207.901291,163.174438,40.372211,205.241013,-122.231438,107.370613,208.042267,119.832909,51.134949,207.309769,49.095390,-96.826553,207.229111,112.028862,-59.705555,206.673187,179.073792,29.531511,207.195496,104.934357,141.398438,207.119629,127.705887,203.805542,206.194229,-136.917496,310.444336,209.133286,374.340088,-187.201782,205.480881,140.761871,263.919312,207.092422,-26.630747,,,,,,,183.297821,207.612778,40.352509,-0.666840,205.851318,-67.038399,102.569046,204.803391,-320.304230,-109.474754,276.571350,71.068573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
